Sample ID	Log-likelihood ratio	Predicted tumor burden	Predicted sample class
Breast-GC1002975	1.991974415783726E-5	0.14	colorectal cancer
Breast-GC1002976	3.634893821910904E-5	0.23	colorectal cancer
Breast-GC1002977	5.04885581632967E-6	0.07	colorectal cancer
Breast-GC1002978	2.2939292882516215E-5	0.16	colorectal cancer
Breast-GC1002979	1.6331760085247953E-5	0.21	breast cancer
Breast-GC1002980	1.1807497255080118E-5	0.12	colorectal cancer
Breast-GC1002981	1.6955900948414742E-5	0.12	colorectal cancer
Breast-GC1003967	9.826433363648846E-6	0.17	colorectal cancer
Breast-GC1003968	1.565227114601816E-5	0.21	colorectal cancer
Breast-GC1003970	6.518944331808435E-6	0.12	colorectal cancer
Breast-GC1003971	1.4028357036239783E-5	0.17	colorectal cancer
Breast-GC1003972	1.3465862630947858E-5	0.21	colorectal cancer
Breast-GC1003974	9.538924210471828E-6	0.14	colorectal cancer
Breast-GC1002311	1.6366825705313516E-5	0.12	colorectal cancer
Breast-GC1004006	6.264169766406065E-6	0.16	colorectal cancer
Breast-GC1004007	1.3626037015854872E-5	0.21	colorectal cancer
Breast-GC1004008	8.566368410468897E-6	0.12	colorectal cancer
Breast-GC1004009	9.643335196263789E-6	0.17	colorectal cancer
Breast-GC110693	1.3435842651903334E-5	0.21	colorectal cancer
Breast-GC110694	1.0653869019315914E-5	0.15	colorectal cancer
Breast-GC110695	2.2021995663452684E-5	0.23	colorectal cancer
Breast-GC110696	1.2670501023484332E-5	0.16	colorectal cancer
Breast-GC116960	1.6868413663882305E-5	0.15	colorectal cancer
Breast-GC116963	7.466462750658382E-6	0.11	ovarian cancer
Breast-GC116964	3.593024802731782E-5	0.28	colorectal cancer
Breast-GC116965	2.1630481654652792E-5	0.21	colorectal cancer
Breast-GC116966	1.4715664663031708E-5	0.15	colorectal cancer
Breast-GC116967	2.39209714617148E-5	0.23	colorectal cancer
Breast-GC116968	1.3656348734849215E-5	0.12	colorectal cancer
Breast-GC116969	1.061712324621198E-5	0.11	colorectal cancer
Breast-GC116970	1.7278009402103383E-5	0.14	colorectal cancer
Breast-GC116971	1.4922936033041602E-5	0.14	colorectal cancer
Breast-GC110676	1.2202580963744527E-5	0.16	colorectal cancer
Breast-GC110678	2.1189604158796735E-5	0.14	colorectal cancer
Breast-GC110679	3.3303339252086495E-5	0.41	breast cancer
Breast-GC110680	1.3016220170391208E-5	0.17	colorectal cancer
Breast-GC110681	6.0505268131335275E-5	0.58	colorectal cancer
Breast-GC110682	1.853657062618153E-5	0.23	colorectal cancer
Breast-GC110683	2.848494448844688E-5	0.28	colorectal cancer
Breast-GC110684	1.6366184579933442E-5	0.17	colorectal cancer
Breast-GC110685	1.651836886492721E-5	0.15	colorectal cancer
Ovarian-GC110686	4.602337186717044E-6	0.1	colorectal cancer
Ovarian-GC114179	1.0219569805212726E-5	0.12	colorectal cancer
Ovarian-GC114180	6.187198569545603E-6	0.08	colorectal cancer
Ovarian-GC114181	1.4902772731777219E-5	0.16	colorectal cancer
Ovarian-GC114182	4.886591517666154E-5	0.58	colorectal cancer
Ovarian-GC116977	1.950388425520809E-5	0.21	colorectal cancer
Ovarian-GC116979	2.25469233649913E-5	0.23	ovarian cancer
Ovarian-GC116982	2.8201170901416757E-5	0.26	ovarian cancer
Ovarian-GC116990	1.3291485480488462E-5	0.15	colorectal cancer
Ovarian-GC119363	2.4576242220612477E-5	0.23	ovarian cancer
Ovarian-GC119364	5.422505840259304E-6	0.12	colorectal cancer
Ovarian-GC119365	4.1127411863687274E-5	0.86	ovarian cancer
Ovarian-GC119366	1.6967461119663553E-5	0.17	colorectal cancer
Colorectal-GC121326	1.6393766200974456E-5	0.17	colorectal cancer
Colorectal-GC121327	1.2289071659919962E-5	0.17	colorectal cancer
Colorectal-GC121328	2.0146244392842535E-5	0.23	colorectal cancer
Colorectal-GC121329	5.5082449865803665E-5	0.41	colorectal cancer
Colorectal-GC121330	2.783680981054924E-5	0.41	colorectal cancer
Colorectal-GC1003994	6.271627281071424E-6	0.1	colorectal cancer
Colorectal-GC1003995	5.989112385401317E-5	0.41	colorectal cancer
Colorectal-GC1003996	1.4411893224631426E-5	0.15	colorectal cancer
Colorectal-GC1003997	4.013824048724161E-6	0.08	colorectal cancer
Colorectal-GC1003998	1.3084748138290485E-5	0.17	colorectal cancer
Colorectal-GC1003999	2.486759683739325E-5	0.28	colorectal cancer
Colorectal-GC1004000	1.0408963526180065E-4	0.65	colorectal cancer
Colorectal-GC1004001	9.206836361247675E-6	0.11	colorectal cancer
Colorectal-GC1004002	9.79364919469584E-6	0.16	colorectal cancer
Colorectal-GC1004003	1.5864757069888594E-5	0.21	colorectal cancer
Colorectal-GC137538	9.112364308651827E-6	0.23	colorectal cancer
Colorectal-GC137539	9.702594625796045E-6	0.14	colorectal cancer
Colorectal-GC137540	8.495219836190905E-6	0.12	colorectal cancer
Colorectal-GC137541	1.6732163883087478E-5	0.17	colorectal cancer
Colorectal-GC137542	3.442017976243925E-6	0.12	colorectal cancer
Colorectal-GC137543	2.6907311775000506E-5	0.23	colorectal cancer
Colorectal-GC137544	1.069438909821678E-5	0.14	colorectal cancer
Colorectal-GC137545	4.828713564592049E-6	0.15	colorectal cancer
Colorectal-GC137546	6.711899753803455E-6	0.11	colorectal cancer
Colorectal-GC137547	1.1311630121054604E-5	0.15	colorectal cancer
Colorectal-GC137548	7.297258759659451E-6	0.12	colorectal cancer
Colorectal-GC137549	5.3010117861891093E-5	0.36	colorectal cancer
Colorectal-GC137550	1.4299931508662953E-5	0.17	colorectal cancer
Colorectal-GC137551	1.3077073327443312E-5	0.16	colorectal cancer
Colorectal-GC137552	1.681095557399656E-5	0.21	colorectal cancer
Colorectal-GC137553	2.8925156529625726E-5	0.28	colorectal cancer
Colorectal-GC137554	2.501534593986998E-5	0.23	colorectal cancer
Colorectal-GC137555	1.0684560294431292E-5	0.15	colorectal cancer
Colorectal-GC137556	2.150819469169994E-5	0.16	colorectal cancer
Colorectal-GC137557	4.452892373742147E-7	0.11	normal
Cervical-GC1002983	3.202418734844422E-5	0.21	colorectal cancer
Cervical-GC1002984	1.741653704731607E-5	0.14	colorectal cancer
Cervical-GC114187	2.6679252129629674E-5	0.23	colorectal cancer
Cervical-GC114188	1.4979391702430576E-5	0.23	ovarian cancer
Control-GC1003986	7.221208676542753E-6	0.15	colorectal cancer
Control-GC1003988	9.548163818285965E-6	0.16	colorectal cancer
Control-GC110675	6.165483283188481E-6	0.12	ovarian cancer
Control-GC112864	6.632219876588505E-6	0.17	colorectal cancer
Control-GC112894	3.3452080063517506E-5	0.41	colorectal cancer
