Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Control-GRP-GC119377,1.783,2.241,3.629,1.295,1.737,0.733,6.848,4.920,6.484,1.904,5.585,5.707,0.318,0.746,4.750,1.763,0.184,3.550,1.992,2.954,0.900,0.358,1.024,0.040,0.208,0.095,0.049,0.029,0.007,0.000,0.010,0.074,1.208,0.361,0.361,0.015,0.072,0.286,9.199,15.042,11.536
Control-GRP-GC119383,1.137,3.010,3.311,3.015,0.870,8.909,1.862,0.079,4.052,4.777,6.343,5.651,1.398,0.046,2.740,2.744,4.318,3.684,0.456,3.307,0.122,0.415,0.726,0.000,0.081,0.000,0.001,0.000,0.000,0.000,0.000,0.000,2.517,0.009,0.002,0.000,0.000,0.066,12.180,3.570,18.601
Control-GRP-GC119384,3.371,0.648,0.580,1.128,3.337,5.008,6.352,6.927,6.952,6.969,1.476,5.780,0.697,0.491,2.066,0.652,3.608,2.841,1.609,3.244,0.200,0.324,0.781,0.022,0.066,0.035,0.061,0.013,0.000,0.001,0.003,0.006,1.320,0.031,0.471,0.019,0.025,0.136,5.488,17.371,9.892
Control-GRP-GC119386,0.038,0.539,5.886,2.298,4.395,3.908,3.818,5.944,7.951,5.379,7.293,1.372,0.945,0.183,4.154,3.589,3.446,0.764,2.702,0.939,0.571,0.496,0.186,0.198,0.127,0.003,0.002,0.079,0.073,1.977,0.000,0.000,0.894,0.055,0.095,0.000,0.165,0.106,12.478,6.394,10.560
Control-GRP-GC119388,2.377,1.810,5.193,1.489,1.400,4.415,1.025,6.205,5.182,2.948,0.202,16.784,2.749,1.488,1.742,1.330,1.259,1.613,0.386,2.710,0.283,0.853,1.243,0.004,0.252,0.015,0.014,0.003,0.026,0.188,0.112,0.059,0.603,0.448,2.461,0.028,0.009,1.705,2.530,8.878,17.977
Control-GRP-GC119389,0.931,0.684,0.495,3.238,0.669,2.958,10.008,5.253,7.782,0.051,5.911,3.220,0.969,1.036,4.541,1.289,4.684,3.153,1.556,0.705,0.211,0.137,0.068,0.003,0.002,0.000,0.001,0.000,0.001,0.002,0.000,0.000,0.191,0.003,0.003,0.000,0.000,0.000,2.475,31.951,5.817
Control-GRP-GC119390,2.281,0.481,4.692,2.987,4.224,4.260,4.936,2.229,1.199,3.299,3.710,7.331,0.923,0.621,0.588,2.521,1.113,4.519,1.133,2.186,0.022,0.379,1.269,0.020,0.082,0.027,0.003,0.038,0.200,0.796,0.000,0.002,1.546,0.299,0.445,0.006,0.112,0.375,6.598,18.968,13.578
Control-GRP-GC119391,3.597,1.628,0.714,2.736,0.605,0.667,8.028,5.134,5.305,0.566,2.572,5.435,3.181,2.695,4.599,0.850,3.140,3.169,0.313,3.335,0.053,0.322,0.657,0.004,0.034,0.013,0.008,0.000,0.000,0.000,0.000,0.000,0.856,0.054,0.014,0.000,0.001,0.000,4.845,27.161,7.710
Control-GRP-GC119394,1.858,1.546,3.834,0.919,3.451,7.549,3.414,4.707,3.302,2.540,5.440,2.901,0.516,1.081,2.683,2.841,1.672,3.319,2.114,0.767,0.200,0.504,0.725,0.000,0.018,0.001,0.002,0.000,0.000,0.000,0.000,0.000,1.232,0.001,0.097,0.000,0.001,0.035,2.111,28.973,9.645
Control-GRP-GC119395,2.783,2.203,2.843,2.050,3.125,4.965,3.747,4.414,0.404,0.889,7.953,5.200,1.181,0.751,5.088,2.844,1.332,0.706,1.742,0.997,0.326,0.117,0.457,0.001,0.144,0.029,0.004,0.013,0.026,0.082,0.009,0.006,2.155,0.148,0.262,0.063,0.020,0.158,8.610,19.357,12.794
Control-GRP-GC119397,1.959,0.510,4.845,4.012,5.260,6.752,5.613,2.531,5.797,7.319,4.048,2.048,1.344,0.406,4.680,0.010,3.876,0.321,0.158,3.583,0.653,0.368,0.233,0.023,0.333,0.017,0.007,0.007,0.065,0.257,0.001,0.008,0.577,0.215,0.375,0.003,0.009,0.370,8.627,11.490,11.291
