Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Cer81_rep7_Dep6_Tu1,0.386,2.860,7.990,5.204,0.769,6.765,1.337,0.017,3.453,4.671,3.670,4.754,0.008,1.222,0.739,0.464,0.685,1.332,0.270,1.097,1.083,0.103,1.094,0.001,0.037,0.139,0.007,0.003,0.045,0.000,0.010,0.156,0.153,1.722,1.912,0.068,0.049,0.033,0.041,0.418,4.312,7.339,2.072,5.368,4.463,0.910,6.768,8.932,2.428,2.640
Cer81_rep10_Dep6_Tu0.5,3.383,1.936,4.817,10.317,8.067,5.688,1.207,0.423,3.791,0.092,3.977,6.360,1.076,0.723,0.137,0.976,0.352,1.264,0.417,0.175,1.156,1.428,0.520,0.011,0.033,0.053,0.014,0.002,0.034,0.019,0.109,0.123,0.915,1.669,0.562,0.020,0.080,0.043,0.048,0.320,1.455,4.402,1.313,6.316,3.230,2.686,10.326,3.159,2.276,2.501
Cer81_rep8_Dep6_Tu20,2.146,0.330,1.798,4.255,3.119,3.907,3.687,3.953,0.332,2.465,2.167,2.442,1.517,1.440,1.293,0.912,0.799,1.532,1.702,0.040,1.130,0.173,1.581,0.215,1.432,0.317,0.129,0.230,0.330,0.222,0.060,2.351,0.846,3.404,0.635,5.789,6.307,0.741,0.258,1.043,0.532,4.893,2.379,7.824,0.766,0.626,5.088,4.728,1.461,4.676
Cer81_rep4_Dep6_Tu5,1.781,1.894,0.957,13.028,0.026,2.137,4.295,3.133,0.688,2.993,2.817,5.761,0.972,0.608,0.604,1.035,1.399,1.041,1.461,0.346,0.253,0.459,0.184,0.014,0.306,0.188,0.165,0.003,0.069,0.000,0.014,0.727,1.654,3.234,4.773,0.350,0.298,0.430,0.794,0.678,2.030,2.376,5.388,4.285,4.257,6.713,1.137,5.165,1.653,5.426
Cer81_rep3_Dep6_Tu30,0.145,0.804,0.067,0.502,5.141,0.774,0.314,4.464,1.200,1.488,2.272,3.490,0.546,0.494,0.642,0.982,0.513,0.884,0.431,1.434,0.558,0.529,0.125,0.572,1.130,0.003,0.307,0.043,0.380,0.474,0.054,0.243,1.940,2.821,2.543,8.429,12.422,0.898,5.871,2.163,0.672,10.709,1.990,0.540,1.343,0.777,0.132,1.309,6.108,8.327
Cer81_rep9_Dep6_Tu0.3,2.217,1.941,6.127,0.619,6.466,3.845,6.444,7.431,1.095,0.704,3.628,6.347,1.017,0.078,1.437,1.109,0.379,0.141,0.318,0.958,0.606,0.012,0.543,0.001,0.035,0.043,0.013,0.003,0.025,0.001,0.053,0.220,0.048,1.605,1.114,0.031,0.006,0.030,0.003,0.209,1.266,4.059,9.068,4.626,0.839,5.329,11.931,4.356,1.554,0.070
Cer81_rep4_Dep6_Tu0.3,0.933,2.786,3.432,4.489,5.928,4.037,0.602,7.926,6.379,3.506,6.377,0.150,0.898,1.077,1.214,0.732,0.526,0.074,1.139,0.024,0.190,1.254,1.205,0.000,0.048,0.035,0.026,0.000,0.006,0.000,0.017,0.144,0.675,2.518,1.076,0.003,0.010,0.025,0.051,0.302,6.611,0.859,0.641,6.762,5.931,0.366,8.431,3.637,3.089,3.862
Cer81_rep1_Dep6_Tu30,3.748,2.970,0.717,6.525,1.157,3.060,1.420,2.104,2.115,2.015,1.963,0.087,0.341,0.941,0.033,0.168,1.613,0.288,1.514,0.209,1.450,0.328,0.564,0.457,1.828,0.209,0.832,0.137,0.329,0.012,0.029,0.717,0.468,0.800,2.561,13.486,7.074,3.064,3.222,2.591,0.861,13.146,0.793,0.180,1.912,1.486,0.443,0.743,2.899,4.389
Cer81_rep1_Dep6_Tu1,1.701,2.705,6.647,0.553,8.889,5.030,5.936,0.690,3.787,2.037,3.496,3.750,0.446,1.764,0.539,1.993,0.326,0.916,1.766,0.009,0.148,0.104,0.098,0.000,0.092,0.052,0.036,0.002,0.057,0.002,0.031,0.104,1.080,2.096,2.921,0.017,0.026,0.245,0.093,0.016,4.723,0.548,0.613,1.917,18.553,8.319,0.390,1.785,1.003,1.948
Cer81_rep4_Dep6_Tu50,1.896,2.510,0.064,0.789,1.012,0.534,0.355,2.212,2.076,1.465,0.947,1.185,0.746,0.741,0.341,1.619,0.763,0.963,1.023,1.318,0.477,1.121,1.438,0.528,2.686,0.526,0.142,0.031,0.561,0.062,0.038,0.570,0.414,1.899,1.687,34.095,14.198,0.977,1.182,2.736,0.481,0.370,0.164,1.910,0.167,3.780,0.780,0.716,2.122,1.584
