Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Br62_rep5_Dep6_Tu10,7.949,21.826,0.035,1.141,32.892,0.000,0.005,2.184,2.381,0.074,7.873,0.069,12.848,10.722
Br62_rep10_Dep6_Tu10,9.402,52.255,0.230,1.007,10.971,0.000,0.140,0.802,2.546,0.364,5.185,0.332,9.763,7.003
Br62_rep4_Dep6_Tu10,8.042,5.660,0.598,1.968,18.281,0.000,0.121,3.692,2.875,0.223,9.866,0.134,2.008,46.534
Br62_rep3_Dep6_Tu0.1,0.000,23.759,0.000,0.000,36.263,0.000,0.011,1.664,2.403,0.024,8.067,0.113,17.415,10.281
Br62_rep2_Dep6_Tu50,44.689,0.655,3.718,7.622,2.708,0.000,0.039,4.581,2.049,0.043,1.673,0.029,3.166,29.028
Br62_rep9_Dep6_Tu10,6.974,21.648,0.024,1.880,33.801,0.000,0.051,3.237,2.616,0.060,4.339,0.122,16.209,9.037
Br62_rep5_Dep6_Tu0.3,0.000,70.245,0.000,0.000,8.146,0.000,0.089,0.858,0.970,0.412,5.899,0.310,7.745,5.326
Br62_rep8_Dep6_Tu50,43.297,32.595,3.110,7.962,1.743,0.000,0.026,2.065,1.480,0.008,1.517,0.136,3.118,2.943
Br62_rep4_Dep6_Tu0.3,0.000,24.942,0.001,0.000,16.943,0.000,0.276,3.676,0.223,0.948,6.902,0.645,11.056,34.389
Br62_rep7_Dep6_Tu1,0.202,5.644,0.047,0.000,19.206,0.002,0.284,3.373,3.777,0.360,7.529,0.546,10.205,48.825
Br62_rep3_Dep6_Tu0.5,0.000,22.011,0.000,0.000,36.883,0.000,0.010,2.686,1.878,0.022,9.976,0.083,15.201,11.250
Br62_rep7_Dep6_Tu40,34.235,12.055,2.636,5.522,22.109,0.000,0.007,2.668,3.034,0.065,3.449,0.104,7.556,6.558
Br62_rep2_Dep6_Tu3,2.127,24.106,0.263,0.282,15.438,0.000,0.226,2.362,4.096,0.916,6.076,0.236,10.098,33.772
Br62_rep2_Dep6_Tu0.5,0.001,1.234,0.014,0.000,19.907,0.000,0.205,1.712,4.355,0.939,9.044,0.491,10.041,52.058
Br62_rep1_Dep6_Tu50,43.406,10.399,1.912,7.698,13.210,0.000,0.032,5.140,1.738,0.055,2.211,0.033,5.155,9.011
Br62_rep3_Dep6_Tu3,2.446,22.130,0.377,0.414,16.148,0.000,0.251,6.019,0.282,0.668,6.567,0.705,10.617,33.375
Br62_rep7_Dep6_Tu3,2.250,71.474,0.013,0.015,7.602,0.000,0.136,0.693,1.299,0.493,5.345,0.240,7.704,2.736
Br62_rep3_Dep6_Tu0.3,0.003,37.784,0.039,0.000,0.106,0.000,0.171,1.270,3.419,1.981,5.935,0.545,5.021,43.725
Br62_rep8_Dep6_Tu30,27.014,0.799,1.673,4.542,11.790,0.000,0.312,3.577,3.656,0.324,3.116,0.132,5.140,37.926
Br62_rep4_Dep6_Tu30,27.986,0.389,1.947,4.841,8.587,0.000,0.059,5.406,2.562,0.113,3.298,0.097,4.516,40.199
