Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
gDNA-Ovarian-GC119433,0.050,0.486,0.297,0.689,1.912,1.871,1.497,0.420,1.520,0.049,0.463,0.402,0.042,0.016,0.037,0.153,0.035,0.026,0.050,0.010,0.362,0.743,0.119,4.866,1.419,1.190,1.829,3.487,3.575,2.542,1.034,0.866,3.382,1.298,0.440,1.017,0.375,0.794,0.459,0.583,1.545,2.021,2.285,2.111,2.193,6.530,23.143,9.899,3.721,6.147
gDNA-Ovarian-GC119434,0.188,1.110,1.231,0.264,0.879,1.349,0.547,0.531,0.229,1.933,2.729,1.566,0.885,0.765,0.257,2.816,1.324,0.078,2.147,0.013,1.926,1.254,1.687,3.136,0.405,1.779,1.502,0.638,3.559,1.795,0.335,0.456,3.278,3.180,3.267,0.858,0.076,1.224,0.491,0.908,0.134,3.796,2.537,1.758,4.951,1.920,16.929,6.784,2.618,5.976
gDNA-WBC-GC131344,1.143,1.163,3.542,18.908,14.871,10.543,5.582,8.015,12.907,2.229,2.011,0.976,1.544,2.593,0.103,2.671,0.818,1.428,2.702,1.020,0.453,0.576,0.655,0.001,0.059,0.121,0.020,0.012,0.428,0.007,0.052,0.224,0.397,1.019,0.570,0.017,0.059,0.014,0.075,0.077,0.019,0.003,0.000,0.001,0.025,0.000,0.010,0.173,0.000,0.164
gDNA-WBC-GC131345,0.605,2.905,13.090,1.788,6.043,15.371,4.416,2.828,4.437,3.250,3.880,2.748,0.931,7.318,2.687,3.269,1.235,2.270,1.932,0.759,2.922,0.609,1.841,0.119,0.581,0.129,0.321,0.030,2.685,0.300,0.035,1.173,0.753,4.070,0.722,0.099,0.276,0.021,0.148,0.444,0.006,0.015,0.139,0.027,0.014,0.039,0.320,0.006,0.007,0.388
gDNA-WBC-GC131346,6.204,3.175,10.801,0.517,12.369,12.122,10.222,5.911,3.978,2.962,1.735,1.721,2.654,1.375,1.075,4.159,1.093,1.050,1.505,2.414,0.761,2.282,0.898,0.000,0.071,0.108,0.017,0.003,0.348,0.321,0.917,0.550,0.499,1.822,2.226,0.156,0.268,0.008,0.170,0.211,0.170,0.100,0.003,0.000,0.001,0.067,0.965,0.012,0.000,0.002
gDNA-WBC-GC131347,0.281,2.951,7.444,11.133,3.984,11.187,5.541,1.930,10.282,4.754,5.172,3.772,1.432,2.354,2.267,2.778,4.743,3.990,3.065,3.542,1.218,1.034,1.437,0.006,0.049,0.258,0.004,0.000,0.583,0.037,0.012,0.219,0.205,1.108,0.306,0.114,0.065,0.002,0.036,0.032,0.001,0.000,0.046,0.000,0.000,0.003,0.592,0.000,0.000,0.032
gDNA-WBC-GC131348,1.205,2.790,9.990,6.405,8.180,10.213,2.238,6.613,14.840,5.013,2.294,1.787,1.229,3.566,2.854,2.534,0.481,2.808,3.096,2.174,1.014,0.630,1.038,0.037,0.052,0.111,0.025,0.060,0.264,0.951,0.046,0.404,0.612,0.747,0.342,0.049,0.119,0.019,0.366,0.726,0.037,0.043,0.039,0.005,0.001,0.489,1.282,0.044,0.136,0.003
gDNA-WBC-GC131349,1.228,1.595,20.805,0.147,1.344,8.254,8.719,4.274,10.521,1.809,6.098,1.564,5.269,1.353,1.222,3.870,3.060,0.432,3.578,0.436,2.052,2.812,1.507,0.046,0.131,0.108,0.137,0.070,0.062,0.388,1.219,0.891,0.709,1.087,0.466,0.669,0.283,0.084,0.175,0.176,0.065,0.160,0.002,0.004,0.000,0.003,0.360,0.104,0.645,0.008
gDNA-WBC-GC131350,2.278,1.276,11.967,11.313,1.097,7.863,5.979,14.308,6.954,6.639,3.628,1.026,2.581,4.463,1.254,4.859,0.196,0.851,0.933,1.558,0.921,0.183,0.198,0.022,0.139,0.088,0.020,0.002,0.260,0.355,0.483,0.384,0.249,1.392,1.237,0.008,0.058,0.000,0.007,0.182,1.086,0.019,0.000,0.007,0.073,0.011,1.438,0.000,0.010,0.147
gDNA-WBC-GC131351,1.780,1.079,9.979,14.275,13.182,1.368,3.722,10.053,6.187,5.392,0.074,8.569,4.032,2.226,3.201,1.644,0.244,0.720,0.383,0.945,0.882,0.754,0.830,0.013,0.172,0.067,0.013,0.036,0.271,0.561,0.517,1.039,0.494,1.265,0.577,0.074,0.622,0.207,0.221,0.410,0.537,0.001,0.001,0.001,0.000,0.187,1.180,0.006,0.000,0.005
gDNA-WBC-GC131352,1.817,2.188,11.680,9.862,4.525,3.857,3.111,8.223,5.272,4.037,4.315,0.414,0.754,1.975,3.246,8.114,5.682,0.190,6.259,0.106,1.498,3.911,1.882,0.180,0.023,1.717,0.055,0.044,0.517,0.230,0.648,0.265,0.157,0.554,0.968,0.035,0.012,0.002,0.141,0.205,0.137,0.205,0.004,0.101,0.001,0.018,0.228,0.005,0.278,0.353
gDNA-WBC-GC131353,0.300,1.693,1.702,8.710,7.628,14.676,5.495,3.550,5.656,2.042,5.281,4.869,4.737,1.922,2.760,3.446,1.869,0.262,2.757,1.013,1.176,3.167,5.997,0.010,0.071,0.167,0.006,0.008,0.609,1.022,0.180,0.701,1.162,1.346,1.287,0.134,0.258,0.024,0.493,0.410,0.002,0.007,0.197,0.001,0.115,0.049,0.025,0.975,0.001,0.030
gDNA-WBC-GC131354,0.302,1.983,1.443,9.910,13.796,4.571,2.269,11.174,4.793,2.193,0.214,4.199,4.818,4.502,1.706,5.017,1.528,4.748,2.601,2.493,2.868,2.585,2.421,0.039,0.208,0.637,0.473,0.037,1.090,0.054,0.186,0.664,0.759,1.148,0.966,0.174,0.110,0.028,0.049,0.431,0.025,0.210,0.004,0.038,0.003,0.002,0.003,0.009,0.493,0.027
gDNA-WBC-GC131355,6.664,2.109,13.517,1.136,6.764,4.455,9.559,14.992,0.150,3.206,2.906,6.364,4.450,4.790,1.111,1.102,0.406,0.839,1.332,3.613,1.313,0.169,3.012,0.050,0.117,0.368,0.012,0.028,1.715,0.516,0.044,0.078,0.096,0.027,2.326,0.055,0.001,0.003,0.051,0.076,0.010,0.023,0.010,0.006,0.012,0.018,0.320,0.002,0.059,0.016
