Sample ID	Log-likelihood ratio	Predicted tumor burden	Predicted sample class
Breast-GC1002975	7.42845790719216E-5	0.23	ovarian cancer
Breast-GC1002976	1.4076791765079522E-4	0.21	colorectal cancer
Breast-GC1002977	2.439977246793751E-5	0.01	colorectal cancer
Breast-GC1002978	8.622126297726907E-5	0.42	ovarian cancer
Breast-GC1002979	7.295875065186241E-5	0.23	breast cancer
Breast-GC1002980	5.204041053967158E-5	0.21	ovarian cancer
Breast-GC1002981	6.296420238544442E-5	0.22	ovarian cancer
Breast-GC1003967	5.0739035018861E-5	0.32	ovarian cancer
Breast-GC1003968	7.990462632623254E-5	0.41	ovarian cancer
Breast-GC1003970	3.691474839416678E-5	0.22	ovarian cancer
Breast-GC1003971	7.168605044973567E-5	0.28	ovarian cancer
Breast-GC1003972	6.838850650586891E-5	0.36	ovarian cancer
Breast-GC1003974	5.249192018946491E-5	0.27	ovarian cancer
Breast-GC1002311	5.873385751624517E-5	0.22	ovarian cancer
Breast-GC1004006	3.7534725735187024E-5	0.23	ovarian cancer
Breast-GC1004007	6.9698529006198E-5	0.41	ovarian cancer
Breast-GC1004008	4.606433292489341E-5	0.22	ovarian cancer
Breast-GC1004009	5.35307574742624E-5	0.3	ovarian cancer
Breast-GC110693	6.282971279756767E-5	0.33	ovarian cancer
Breast-GC110694	5.991208897065685E-5	0.28	ovarian cancer
Breast-GC110695	9.696732453055736E-5	0.41	ovarian cancer
Breast-GC110696	5.8176222340318994E-5	0.28	ovarian cancer
Breast-GC116960	6.829971199809891E-5	0.23	ovarian cancer
Breast-GC116963	3.7862556097960226E-5	0.15	ovarian cancer
Breast-GC116964	1.2715373680465027E-4	0.21	colorectal cancer
Breast-GC116965	8.374964446842334E-5	0.36	ovarian cancer
Breast-GC116966	6.50008859987047E-5	0.23	ovarian cancer
Breast-GC116967	1.0413936542861512E-4	0.41	ovarian cancer
Breast-GC116968	5.764289759332018E-5	0.22	ovarian cancer
Breast-GC116969	5.167223354090515E-5	0.22	ovarian cancer
Breast-GC116970	7.831648069175008E-5	0.28	ovarian cancer
Breast-GC116971	7.042636450049383E-5	0.23	ovarian cancer
Breast-GC110676	6.265281261261287E-5	0.32	ovarian cancer
Breast-GC110678	8.381760475729775E-5	0.23	ovarian cancer
Breast-GC110679	1.5486548202709883E-4	0.41	breast cancer
Breast-GC110680	5.891023873796842E-5	0.33	ovarian cancer
Breast-GC110681	2.557025105225373E-4	0.47	colorectal cancer
Breast-GC110682	8.830131555235835E-5	0.4	ovarian cancer
Breast-GC110683	1.1215792428984908E-4	0.5	ovarian cancer
Breast-GC110684	7.359205783692802E-5	0.36	ovarian cancer
Breast-GC110685	8.009283169457462E-5	0.28	ovarian cancer
Ovarian-GC110686	3.87867981943683E-5	0.22	ovarian cancer
Ovarian-GC114179	5.582523690300056E-5	0.23	ovarian cancer
Ovarian-GC114180	3.955168603287636E-5	0.21	ovarian cancer
Ovarian-GC114181	9.52504383814292E-5	0.41	breast cancer
Ovarian-GC114182	1.8298308183117674E-4	0.41	colorectal cancer
Ovarian-GC116977	7.886620682399691E-5	0.41	ovarian cancer
Ovarian-GC116979	1.0631126203175295E-4	0.41	ovarian cancer
Ovarian-GC116982	1.2370068038168935E-4	0.41	ovarian cancer
Ovarian-GC116990	7.350350542247249E-5	0.32	ovarian cancer
Ovarian-GC119363	1.1701767534653897E-4	0.41	ovarian cancer
Ovarian-GC119364	3.747163430036544E-5	0.22	ovarian cancer
Ovarian-GC119365	1.4817291065643545E-4	0.8	ovarian cancer
Ovarian-GC119366	9.63938133387009E-5	0.36	breast cancer
Colorectal-GC121326	7.344339577981258E-5	0.36	ovarian cancer
Colorectal-GC121327	9.042966253205198E-5	0.17	colorectal cancer
Colorectal-GC121328	8.097020328050668E-5	0.21	colorectal cancer
Colorectal-GC121329	2.7027338182091757E-4	0.41	colorectal cancer
Colorectal-GC121330	1.2649235475449712E-4	0.41	colorectal cancer
Colorectal-GC1003994	5.133512107872304E-5	0.23	ovarian cancer
Colorectal-GC1003995	3.1369946928445957E-4	0.41	colorectal cancer
Colorectal-GC1003996	6.744781158495082E-5	0.32	ovarian cancer
Colorectal-GC1003997	3.283412980035179E-5	0.21	ovarian cancer
Colorectal-GC1003998	6.773451855456849E-5	0.36	ovarian cancer
Colorectal-GC1003999	1.1941400016621075E-4	0.54	breast cancer
Colorectal-GC1004000	4.64370288823057E-4	0.6	colorectal cancer
Colorectal-GC1004001	4.860127602697643E-5	0.21	ovarian cancer
Colorectal-GC1004002	4.96364919183893E-5	0.23	ovarian cancer
Colorectal-GC1004003	8.358012197293804E-5	0.41	ovarian cancer
Colorectal-GC137538	4.400094635784489E-5	0.41	ovarian cancer
Colorectal-GC137539	5.330656842729203E-5	0.23	ovarian cancer
Colorectal-GC137540	4.36771576262433E-5	0.21	ovarian cancer
Colorectal-GC137541	7.466006718145298E-5	0.36	ovarian cancer
Colorectal-GC137542	2.588594329031849E-5	0.22	ovarian cancer
Colorectal-GC137543	1.2274689528967822E-4	0.23	colorectal cancer
Colorectal-GC137544	4.9270566084465566E-5	0.23	ovarian cancer
Colorectal-GC137545	3.42055367276704E-5	0.23	ovarian cancer
Colorectal-GC137546	4.2777294778812214E-5	0.22	ovarian cancer
Colorectal-GC137547	5.393968481783946E-5	0.23	ovarian cancer
Colorectal-GC137548	4.2221893761222666E-5	0.24	ovarian cancer
Colorectal-GC137549	2.473964595367116E-4	0.41	colorectal cancer
Colorectal-GC137550	6.29426883924947E-5	0.32	ovarian cancer
Colorectal-GC137551	5.92018402990865E-5	0.27	ovarian cancer
Colorectal-GC137552	7.742169494562533E-5	0.4	ovarian cancer
Colorectal-GC137553	1.3333422467085644E-4	0.23	colorectal cancer
Colorectal-GC137554	1.1977979803038463E-4	0.23	colorectal cancer
Colorectal-GC137555	4.382748418614247E-5	0.23	ovarian cancer
Colorectal-GC137556	7.238568491093601E-5	0.23	ovarian cancer
Colorectal-GC137557	9.786837333837554E-6	0.13	ovarian cancer
Cervical-GC1002983	1.1688214537997992E-4	0.4	ovarian cancer
Cervical-GC1002984	7.492931463332909E-5	0.23	ovarian cancer
Cervical-GC114187	1.145076065816584E-4	0.41	ovarian cancer
Cervical-GC114188	7.639044576923547E-5	0.36	ovarian cancer
Control-GC1003986	4.151403480522073E-5	0.25	ovarian cancer
Control-GC1003988	4.975038491562429E-5	0.28	ovarian cancer
Control-GC110675	3.872681067481652E-5	0.18	ovarian cancer
Control-GC112864	4.479932814534309E-5	0.3	ovarian cancer
Control-GC112894	1.4364158188300103E-4	0.23	colorectal cancer
Control-GC112895	1.014231191398446E-4	0.41	ovarian cancer
Control-GC112897	8.769507047806287E-5	0.4	ovarian cancer
Control-GC119350	4.9102628771538794E-5	0.28	ovarian cancer
Control-GC119351	5.82229157714772E-5	0.23	ovarian cancer
Control-GC119352	6.095021489665968E-5	0.23	ovarian cancer
Control-GC119353	1.070571000834819E-4	0.41	ovarian cancer
Control-GC119354	6.910140625694219E-5	0.28	ovarian cancer
Control-GC119356	5.4323463280705006E-5	0.23	ovarian cancer
Control-GRP-GC114128	4.826833560432462E-5	0.32	ovarian cancer
Control-GRP-GC114130	3.84928578589319E-5	0.16	ovarian cancer
Control-GRP-GC114131	6.264351316834284E-5	0.28	ovarian cancer
Control-GRP-GC114132	4.1412572106828114E-5	0.16	ovarian cancer
Control-GRP-GC114133	6.0612285881618564E-5	0.28	ovarian cancer
Control-GRP-GC114134	3.640537478203397E-5	0.21	ovarian cancer
Control-GRP-GC114136	4.6931795170570775E-5	0.22	ovarian cancer
Control-GRP-GC114137	2.5087396630348484E-5	0.16	ovarian cancer
Control-GRP-GC114139	5.603472405759992E-5	0.32	ovarian cancer
Control-GRP-GC114140	5.4125724747008366E-5	0.3	ovarian cancer
Control-GRP-GC114141	5.108924034210318E-5	0.23	ovarian cancer
Control-GRP-GC114142	4.309201807262778E-5	0.22	ovarian cancer
Control-GRP-GC114183	2.6987235734809678E-5	0.15	ovarian cancer
Control-GRP-GC114185	5.480047751130217E-5	0.27	ovarian cancer
Control-GRP-GC114186	5.610351816342403E-5	0.23	ovarian cancer
Control-GRP-GC118464	6.580617547592264E-5	0.23	ovarian cancer
Control-GRP-GC118466	5.628585622141181E-5	0.21	ovarian cancer
