Sample ID	Log-likelihood ratio	Predicted tumor burden	Predicted sample class
Breast-GC1002975	0.0011364075965189745	0.41	colorectal cancer
Breast-GC1002976	0.001435690384402582	0.5	colorectal cancer
Breast-GC1002977	4.989863360647952E-4	0.01	ovarian cancer
Breast-GC1002978	0.0029935221059200216	0.42	ovarian cancer
Breast-GC1002979	8.553693704459189E-4	0.21	ovarian cancer
Breast-GC1002980	6.253900240093553E-4	0.23	colorectal cancer
Breast-GC1002981	9.404855225433813E-4	0.41	colorectal cancer
Breast-GC1003967	7.917536435180869E-4	0.21	ovarian cancer
Breast-GC1003968	8.214441651030427E-4	0.23	colorectal cancer
Breast-GC1003970	3.961035663009942E-4	0.11	ovarian cancer
Breast-GC1003971	0.0010245738999518851	0.21	ovarian cancer
Breast-GC1003972	8.195510345213634E-4	0.21	ovarian cancer
Breast-GC1003974	7.017608119720222E-4	0.17	ovarian cancer
Breast-GC1002311	7.672591670520556E-4	0.23	colorectal cancer
Breast-GC1004006	4.0876564152113597E-4	0.23	colorectal cancer
Breast-GC1004007	5.22120240671325E-4	0.23	colorectal cancer
Breast-GC1004008	5.992474680746361E-4	0.01	breast cancer
Breast-GC1004009	8.256713587852967E-4	0.23	ovarian cancer
Breast-GC110693	5.441710380313876E-4	0.01	breast cancer
Breast-GC110694	7.907615714565063E-4	0.23	colorectal cancer
Breast-GC110695	5.380336980406328E-4	0.25	ovarian cancer
Breast-GC110696	5.678813589182032E-4	0.01	breast cancer
Breast-GC116960	9.799262255708674E-4	0.17	ovarian cancer
Breast-GC116963	4.480733469097578E-4	0.1	ovarian cancer
Breast-GC116964	4.4570888820954574E-4	0.01	breast cancer
Breast-GC116965	9.591112864416078E-4	0.17	ovarian cancer
Breast-GC116966	7.415837578123306E-4	0.1	ovarian cancer
Breast-GC116967	8.854802337007716E-4	0.21	ovarian cancer
Breast-GC116968	7.041792410479256E-4	0.23	colorectal cancer
Breast-GC116969	8.245480052951796E-4	0.41	colorectal cancer
Breast-GC116970	9.750397583898171E-4	0.48	colorectal cancer
Breast-GC116971	7.152039367252718E-4	0.17	ovarian cancer
Breast-GC110676	6.028749090841343E-4	0.23	colorectal cancer
Breast-GC110678	9.105133022128753E-4	0.41	colorectal cancer
Breast-GC110679	0.001895664302986352	0.23	breast cancer
Breast-GC110680	7.62002648873694E-4	0.23	colorectal cancer
Breast-GC110681	8.488682666806164E-4	0.41	ovarian cancer
Breast-GC110682	7.792342644297939E-4	0.23	ovarian cancer
Breast-GC110683	0.0010107564540061474	0.23	ovarian cancer
Breast-GC110684	8.404581244662191E-4	0.24	ovarian cancer
Breast-GC110685	0.0010233624464874769	0.41	colorectal cancer
Ovarian-GC110686	5.212043113640459E-4	0.15	ovarian cancer
Ovarian-GC114179	6.765350775516569E-4	0.11	ovarian cancer
Ovarian-GC114180	7.044417304129673E-4	0.12	ovarian cancer
Ovarian-GC114181	0.0011720240846595643	0.23	breast cancer
Ovarian-GC114182	0.0010963054422232599	0.53	ovarian cancer
Ovarian-GC116977	7.645694556423995E-4	0.41	colorectal cancer
Ovarian-GC116979	0.0014465249079287218	0.28	ovarian cancer
Ovarian-GC116982	0.0013334017866058207	0.41	colorectal cancer
Ovarian-GC116990	6.557307891340413E-4	0.15	ovarian cancer
Ovarian-GC119363	0.0013725423749501857	0.26	ovarian cancer
Ovarian-GC119364	6.173461662088241E-4	0.21	colorectal cancer
Ovarian-GC119365	0.0010777594350243646	0.6	ovarian cancer
Ovarian-GC119366	0.0012785314299932676	0.23	breast cancer
Colorectal-GC121326	7.576846233824397E-4	0.23	colorectal cancer
Colorectal-GC121327	0.0015294551184903131	0.23	colorectal cancer
Colorectal-GC121328	6.496272817007847E-4	0.22	ovarian cancer
Colorectal-GC121329	0.0016713667131726354	0.41	colorectal cancer
Colorectal-GC121330	0.001041041541728443	0.36	breast cancer
Colorectal-GC1003994	8.452002431755737E-4	0.23	ovarian cancer
Colorectal-GC1003995	0.002688515876007281	0.58	colorectal cancer
Colorectal-GC1003996	9.061635099807218E-4	0.41	colorectal cancer
Colorectal-GC1003997	5.105897302007758E-4	0.01	colorectal cancer
Colorectal-GC1003998	7.212414245810187E-4	0.23	colorectal cancer
Colorectal-GC1003999	6.606160027685547E-4	0.23	breast cancer
Colorectal-GC1004000	0.002977948087227677	0.58	colorectal cancer
Colorectal-GC1004001	5.419276303504868E-4	0.11	ovarian cancer
