Sample ID	Log-likelihood ratio	Predicted tumor burden	Predicted sample class
Breast-GC1002975	3.14963392159205E-5	0.14	colorectal cancer
Breast-GC1002976	5.907158395652991E-5	0.23	colorectal cancer
Breast-GC1002977	8.33437081641727E-6	0.07	colorectal cancer
Breast-GC1002978	3.551431351543742E-5	0.16	colorectal cancer
Breast-GC1002979	2.5221011766797465E-5	0.19	breast cancer
Breast-GC1002980	1.866829269485346E-5	0.11	colorectal cancer
Breast-GC1002981	2.678272333051755E-5	0.12	colorectal cancer
Breast-GC1003967	1.635515348996071E-5	0.17	colorectal cancer
Breast-GC1003968	2.6897278834824523E-5	0.21	colorectal cancer
Breast-GC1003970	1.094624703320563E-5	0.12	colorectal cancer
Breast-GC1003971	2.3250094950936988E-5	0.17	colorectal cancer
Breast-GC1003972	2.2258410891043774E-5	0.17	colorectal cancer
Breast-GC1003974	1.583994363351823E-5	0.12	colorectal cancer
Breast-GC1002311	2.591347857370051E-5	0.12	colorectal cancer
Breast-GC1004006	1.0741561299935197E-5	0.15	colorectal cancer
Breast-GC1004007	2.3143283965025158E-5	0.21	colorectal cancer
Breast-GC1004008	1.4115322533273741E-5	0.12	colorectal cancer
Breast-GC1004009	1.6623151487337035E-5	0.16	colorectal cancer
Breast-GC110693	2.2641816309789084E-5	0.21	colorectal cancer
Breast-GC110694	1.7602725955263797E-5	0.14	colorectal cancer
Breast-GC110695	3.730878912344338E-5	0.23	colorectal cancer
Breast-GC110696	2.1093956836340272E-5	0.16	colorectal cancer
Breast-GC116960	2.745882621419872E-5	0.15	colorectal cancer
Breast-GC116963	1.1027866126150853E-5	0.08	colorectal cancer
Breast-GC116964	5.858038480370852E-5	0.28	colorectal cancer
Breast-GC116965	3.478051263894199E-5	0.21	colorectal cancer
Breast-GC116966	2.3654129740969806E-5	0.15	colorectal cancer
Breast-GC116967	3.9560259220367394E-5	0.22	colorectal cancer
Breast-GC116968	2.1756544884322832E-5	0.12	colorectal cancer
Breast-GC116969	1.683365242077847E-5	0.11	colorectal cancer
Breast-GC116970	2.7495667948636157E-5	0.14	colorectal cancer
Breast-GC116971	2.3491203907703245E-5	0.14	colorectal cancer
Breast-GC110676	2.0328547389752096E-5	0.16	colorectal cancer
Breast-GC110678	3.410048361595358E-5	0.14	colorectal cancer
Breast-GC110679	5.271245066162762E-5	0.41	breast cancer
Breast-GC110680	2.1867583124572188E-5	0.17	colorectal cancer
Breast-GC110681	9.876384694164624E-5	0.58	colorectal cancer
Breast-GC110682	3.0402805092210185E-5	0.22	colorectal cancer
Breast-GC110683	4.7679200428901065E-5	0.28	colorectal cancer
Breast-GC110684	2.6533790882803964E-5	0.16	colorectal cancer
Breast-GC110685	2.677673496472316E-5	0.15	colorectal cancer
Ovarian-GC110686	7.207889095039561E-6	0.1	colorectal cancer
Ovarian-GC114179	1.6785701629250697E-5	0.12	colorectal cancer
Ovarian-GC114180	1.0194817069969271E-5	0.08	colorectal cancer
Ovarian-GC114181	2.398398029088258E-5	0.16	colorectal cancer
Ovarian-GC114182	7.934694129016766E-5	0.58	colorectal cancer
Ovarian-GC116977	3.133595471288095E-5	0.21	colorectal cancer
Ovarian-GC116979	3.639451717068751E-5	0.26	ovarian cancer
Ovarian-GC116982	4.406019833944846E-5	0.28	ovarian cancer
Ovarian-GC116990	2.0954930349033303E-5	0.15	colorectal cancer
Ovarian-GC119363	3.914704001906604E-5	0.26	ovarian cancer
Ovarian-GC119364	8.922531832759552E-6	0.11	colorectal cancer
Ovarian-GC119365	6.449949375746245E-5	0.91	ovarian cancer
Ovarian-GC119366	2.7254735360373326E-5	0.17	colorectal cancer
Colorectal-GC121326	2.681016146073029E-5	0.17	colorectal cancer
Colorectal-GC121327	2.0094444946979622E-5	0.17	colorectal cancer
Colorectal-GC121328	3.435986469186342E-5	0.23	colorectal cancer
Colorectal-GC121329	9.26539603887136E-5	0.41	colorectal cancer
Colorectal-GC121330	4.536088652373386E-5	0.36	colorectal cancer
Colorectal-GC1003994	1.0737152169288892E-5	0.11	colorectal cancer
Colorectal-GC1003995	1.0028522869963806E-4	0.41	colorectal cancer
Colorectal-GC1003996	2.37852194362029E-5	0.14	colorectal cancer
Colorectal-GC1003997	6.67469260558562E-6	0.08	colorectal cancer
Colorectal-GC1003998	2.200206707826071E-5	0.17	colorectal cancer
Colorectal-GC1003999	4.1154897073437675E-5	0.28	colorectal cancer
Colorectal-GC1004000	1.6896922337366035E-4	0.65	colorectal cancer
Colorectal-GC1004001	1.4585338120925054E-5	0.1	colorectal cancer
Colorectal-GC1004002	1.674787325888996E-5	0.15	colorectal cancer
Colorectal-GC1004003	2.6955650372414898E-5	0.21	colorectal cancer
Colorectal-GC137538	1.627515711308354E-5	0.23	colorectal cancer
Colorectal-GC137539	1.610989913904027E-5	0.12	colorectal cancer
Colorectal-GC137540	1.3750389774988063E-5	0.12	colorectal cancer
Colorectal-GC137541	2.799130014960159E-5	0.17	colorectal cancer
Colorectal-GC137542	5.882833245863994E-6	0.12	colorectal cancer
Colorectal-GC137543	4.3679829590508945E-5	0.23	colorectal cancer
Colorectal-GC137544	1.7237450256259544E-5	0.14	colorectal cancer
Colorectal-GC137545	9.417557916259881E-6	0.15	colorectal cancer
Colorectal-GC137546	1.110748754533964E-5	0.11	colorectal cancer
Colorectal-GC137547	1.8586114764464155E-5	0.15	colorectal cancer
Colorectal-GC137548	1.187623935111754E-5	0.12	colorectal cancer
Colorectal-GC137549	8.485200062816219E-5	0.36	colorectal cancer
Colorectal-GC137550	2.3962176484480803E-5	0.17	colorectal cancer
Colorectal-GC137551	2.164473575608332E-5	0.16	colorectal cancer
Colorectal-GC137552	2.7527219855132393E-5	0.21	colorectal cancer
Colorectal-GC137553	4.913637890735408E-5	0.28	colorectal cancer
Colorectal-GC137554	4.219781565300081E-5	0.28	colorectal cancer
Colorectal-GC137555	1.7472582677342517E-5	0.15	colorectal cancer
Colorectal-GC137556	3.492773428329195E-5	0.16	colorectal cancer
Colorectal-GC137557	1.212127299338308E-6	0.11	ovarian cancer
Cervical-GC1002983	5.1269977442607315E-5	0.21	colorectal cancer
