Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Control-GRP-GC121336,0.000,11.078,0.000,0.000,0.026,0.000,0.542,15.870,13.040,5.068,14.505,1.560,1.723,36.588
Control-GRP-GC121337,0.007,12.580,0.127,0.002,0.710,0.005,1.451,2.970,15.356,10.816,16.127,1.908,4.128,33.813
Control-GRP-GC121338,0.001,13.961,0.001,0.001,0.145,0.000,1.342,12.607,6.775,3.950,10.956,1.963,21.166,27.132
Control-GRP-GC121339,0.061,12.025,0.709,0.252,1.680,0.098,1.431,6.808,5.520,2.815,9.906,1.935,29.877,26.883
Control-GRP-GC121340,0.009,12.354,0.032,0.028,0.373,0.000,1.104,6.374,9.967,4.075,9.832,1.204,29.891,24.757
Control-GRP-GC121341,0.539,7.801,0.896,1.190,4.145,0.887,2.216,6.047,4.354,7.442,17.916,2.843,20.276,23.449
Control-GRP-GC121342,0.582,21.282,0.043,0.019,1.743,0.869,0.500,8.392,0.074,7.604,9.792,1.477,27.908,19.715
Control-GRP-GC121343,0.409,21.155,0.200,0.045,1.731,0.056,1.159,12.311,2.358,7.224,10.372,3.570,10.482,28.926
Control-GRP-GC121346,0.000,8.433,0.100,0.000,0.482,0.001,1.435,7.608,3.640,1.307,16.581,2.490,36.027,21.896
Control-GRP-GC121347,0.709,25.207,0.140,0.036,1.292,0.457,1.139,0.074,12.136,6.372,10.225,0.374,20.567,21.272
Control-GRP-GC121348,0.193,11.901,0.430,0.100,1.721,0.111,1.267,3.162,5.333,2.082,6.910,1.486,45.830,19.474
Control-GRP-GC121349,0.000,11.686,0.000,0.000,0.010,0.000,0.484,15.019,6.145,0.028,9.631,0.547,37.493,18.955
