Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Control-GRP-GC119383,4.073,1.643,0.151,0.044,2.728,1.308,3.469,2.386,4.119,2.110,3.572,4.309,0.181,2.100,3.324,4.363,3.183,2.822,2.799,0.301,2.084,0.560,2.568,0.326,1.117,0.626,1.120,0.071,0.093,0.012,0.094,0.228,2.942,1.441,0.016,2.444,1.976,2.691,2.226,0.549,5.165,4.032,2.362,0.809,3.630,3.031,1.744,1.833,3.155,2.068
Control-GRP-GC119384,2.250,1.379,4.510,4.491,2.698,3.408,0.473,1.326,4.980,5.370,2.171,3.229,1.535,1.240,4.333,3.396,4.032,1.805,3.486,3.612,0.375,1.238,1.616,0.093,1.068,0.543,0.247,0.299,0.027,0.035,0.089,0.180,0.340,2.791,2.948,2.111,2.781,1.671,2.668,0.600,2.219,0.842,2.631,1.032,2.403,2.671,2.071,1.952,1.301,1.434
Control-GRP-GC119386,0.299,0.419,2.784,5.289,4.365,2.256,0.925,6.235,3.271,1.953,5.391,5.138,1.450,1.068,2.829,2.702,4.825,0.055,3.808,3.562,0.032,0.614,2.935,0.481,1.580,0.388,0.888,0.967,0.806,1.735,0.013,0.060,1.439,2.750,0.597,1.062,1.388,0.760,3.768,0.562,3.012,2.914,1.693,1.296,1.033,0.170,1.534,2.784,3.928,0.188
Control-GRP-GC119388,0.006,4.817,3.118,3.729,0.287,4.887,1.731,0.340,2.908,6.852,2.933,2.793,0.126,3.136,2.996,2.613,0.012,3.344,3.161,2.246,1.857,2.462,0.236,0.093,0.861,0.960,1.070,0.305,0.232,0.143,0.055,0.678,1.899,0.029,0.646,0.041,0.306,2.605,3.781,1.921,0.152,2.740,2.710,3.110,4.413,0.079,4.286,3.442,3.481,3.371
Control-GRP-GC119389,2.775,2.759,4.867,4.963,3.809,5.571,3.041,0.249,0.530,4.689,5.160,0.779,3.294,2.077,1.186,2.273,3.168,3.622,3.799,1.648,1.990,0.142,1.697,0.218,0.777,0.069,0.254,0.021,0.065,0.092,0.023,0.024,3.272,0.432,3.083,0.033,3.779,1.989,4.841,1.003,4.247,1.070,1.174,2.120,1.269,1.275,0.302,1.471,2.924,0.087
Control-GRP-GC119390,1.027,2.380,3.366,1.354,2.789,1.876,2.391,2.952,3.121,0.676,4.764,4.497,0.585,2.110,4.211,3.367,0.825,1.962,3.712,2.722,0.851,1.957,1.096,0.734,0.557,0.250,0.492,0.058,0.378,0.675,0.249,0.228,3.475,0.387,3.905,2.572,2.639,2.308,3.498,0.147,3.798,3.671,0.645,1.933,3.334,1.983,1.327,1.246,3.671,1.248
Control-GRP-GC119391,5.176,1.066,2.332,2.512,1.996,0.527,1.206,2.675,4.382,3.432,1.324,1.964,5.160,0.085,5.895,1.073,1.904,4.400,4.431,4.910,1.965,0.983,2.131,0.285,0.816,0.375,0.549,0.135,0.127,0.016,0.053,0.068,0.261,2.162,3.856,0.682,0.193,2.629,3.492,3.656,2.148,4.695,1.268,1.113,1.017,0.792,1.127,2.787,3.617,0.552
Control-GRP-GC119394,1.456,3.801,3.823,0.012,4.199,3.447,1.733,2.583,4.005,3.084,4.140,1.666,2.677,1.152,2.270,3.153,0.446,4.175,4.022,4.557,1.786,1.032,2.345,0.280,0.138,0.653,0.540,0.088,0.089,0.006,0.014,0.039,3.176,2.396,0.331,2.706,1.690,0.387,2.614,1.475,3.233,3.383,2.059,1.258,2.059,0.985,2.661,3.439,0.626,2.109
Control-GRP-GC119395,2.704,5.213,0.404,2.759,0.810,2.310,2.389,3.213,3.096,4.140,1.333,1.080,2.536,0.476,2.878,4.307,2.008,2.120,3.587,3.896,0.365,0.117,3.397,0.159,1.067,0.513,1.079,0.541,0.298,0.089,0.078,0.228,1.958,1.552,0.635,1.875,2.609,2.325,3.042,2.004,3.573,1.233,1.558,2.770,4.819,2.283,0.728,4.139,2.917,0.793
Control-GRP-GC119397,2.378,2.024,2.121,8.000,4.117,8.530,1.449,0.709,0.055,2.982,3.042,4.273,2.561,0.105,3.069,0.488,1.042,5.989,2.709,0.768,2.026,1.641,1.684,0.700,0.649,0.521,0.595,0.456,0.394,0.030,0.030,0.159,1.163,0.950,0.768,3.345,0.302,1.376,3.155,1.668,1.165,0.870,2.523,2.543,6.115,1.508,0.762,1.199,3.648,1.646
Control-GRP-GC119398,2.834,0.923,5.021,4.311,5.616,5.599,5.428,3.305,9.090,1.148,3.592,0.417,0.688,0.118,4.349,0.299,2.617,3.904,2.971,3.085,1.461,1.274,1.147,0.074,0.393,0.688,0.103,0.422,0.238,0.001,0.008,0.021,1.141,0.425,0.666,0.302,2.365,0.199,0.195,2.102,2.402,1.602,2.188,2.468,3.414,1.425,1.590,0.545,3.592,2.232
