Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
gDNA-WBC-GC131346,2.859,0.267,0.575,11.075,15.352,5.677,1.940,3.885,6.670,6.656,6.092,0.477,4.410,2.049,2.234,2.099,3.879,0.278,4.719,0.483,3.288,1.116,1.035,0.129,0.489,1.153,0.440,0.313,0.430,0.309,0.778,0.209,1.418,3.429,0.115,0.221,0.044,0.479,0.087,0.899,0.039,0.060,0.978,0.344,0.100,0.019,0.004,0.349,0.046,0.005
gDNA-WBC-GC131347,3.257,1.682,5.036,3.130,4.826,4.723,8.174,8.615,10.599,5.374,3.400,4.711,3.525,0.922,3.551,1.106,7.031,0.204,4.322,5.413,2.713,1.315,2.819,0.012,0.319,0.187,0.338,0.055,0.291,0.196,0.047,0.116,0.079,1.062,0.131,0.046,0.106,0.004,0.141,0.276,0.002,0.011,0.001,0.011,0.001,0.020,0.027,0.010,0.049,0.013
gDNA-WBC-GC131348,1.994,1.644,10.124,6.547,9.935,5.115,9.506,8.735,3.926,1.040,4.234,4.444,0.864,3.298,4.226,3.448,3.319,2.888,3.063,2.784,1.292,1.906,0.514,0.083,0.164,0.137,0.252,0.101,0.422,0.587,0.029,0.032,0.526,0.318,0.237,0.126,0.130,0.093,0.325,0.370,0.285,0.037,0.008,0.031,0.001,0.036,0.089,0.007,0.638,0.090
gDNA-WBC-GC131349,3.105,3.695,1.361,11.756,0.869,1.479,9.273,10.497,10.629,6.023,3.153,2.732,0.166,2.344,3.151,2.636,2.021,2.224,3.171,1.961,3.050,2.633,2.922,0.182,0.398,0.002,0.341,0.107,0.553,0.032,0.472,0.135,0.383,0.361,1.026,0.057,0.225,0.474,1.525,0.784,0.092,0.106,0.625,0.298,0.191,0.324,0.086,0.026,0.270,0.075
gDNA-WBC-GC131350,0.236,3.262,6.393,8.574,7.779,16.659,9.930,0.701,4.070,6.372,1.615,1.975,3.935,0.425,2.075,2.965,1.698,2.748,0.680,3.198,3.009,0.065,1.798,0.444,0.669,0.891,0.010,0.076,0.724,0.206,0.271,0.617,0.702,0.296,1.389,0.133,0.024,0.465,0.859,0.700,0.076,0.013,0.295,0.259,0.307,0.249,0.015,0.077,0.063,0.009
gDNA-WBC-GC131351,2.648,0.708,2.768,14.563,17.005,7.833,0.198,7.644,3.763,4.792,5.884,0.173,1.601,3.819,2.570,1.745,3.055,0.205,3.260,1.180,0.330,2.331,2.088,0.321,0.686,0.564,0.477,0.284,0.719,0.751,0.202,0.369,0.769,1.107,1.111,0.178,0.061,0.087,0.483,0.893,0.070,0.040,0.111,0.042,0.006,0.160,0.090,0.063,0.191,0.003
gDNA-WBC-GC131352,4.103,1.216,1.994,11.256,7.106,3.155,9.220,7.717,1.988,5.519,2.147,3.813,3.556,0.473,6.070,4.222,3.068,6.004,3.068,0.581,1.747,3.695,1.396,0.138,0.858,0.605,0.362,0.223,0.701,0.394,0.189,0.053,0.156,1.299,0.452,0.171,0.043,0.366,0.055,0.300,0.081,0.011,0.029,0.038,0.016,0.042,0.017,0.034,0.189,0.060
gDNA-WBC-GC131353,0.963,2.038,6.623,6.954,10.060,1.662,7.140,8.570,7.127,3.653,5.371,3.496,3.941,2.605,1.815,2.392,0.599,2.297,2.942,2.033,0.886,3.921,0.915,0.322,0.484,0.222,0.692,0.148,0.899,0.268,0.639,0.539,0.434,1.446,0.424,0.297,0.181,0.370,0.686,0.769,0.408,0.019,0.750,0.267,0.519,0.210,0.088,0.148,0.736,0.034
gDNA-WBC-GC131354,3.759,2.275,9.002,4.758,0.461,2.954,6.782,10.236,6.806,1.800,2.304,4.923,6.203,0.634,3.551,3.600,1.436,2.185,0.423,3.566,3.163,1.156,4.429,0.143,0.230,0.780,0.185,0.097,0.219,0.187,0.236,1.754,0.615,0.519,2.655,0.188,0.327,0.361,0.993,0.320,0.086,0.046,1.557,0.541,0.175,0.144,0.073,0.774,0.165,0.228
gDNA-WBC-GC131355,0.048,5.605,7.498,9.156,7.719,4.321,8.352,10.104,3.103,4.332,2.040,1.788,0.157,3.152,2.590,1.369,1.191,0.430,3.401,1.154,1.951,1.270,3.121,0.010,0.863,0.701,0.059,0.370,0.512,0.043,0.388,1.722,0.202,3.127,1.986,0.042,0.095,0.615,0.715,0.376,0.015,0.032,2.105,0.826,0.710,0.059,0.004,0.528,0.008,0.037
