Sample ID	Log-likelihood ratio	Predicted tumor burden	Predicted sample class
Breast-GC1002975	8.096962371407381E-5	0.23	ovarian cancer
Breast-GC1002976	1.5638061982856658E-4	0.21	colorectal cancer
Breast-GC1002977	2.442446288665397E-5	0.01	colorectal cancer
Breast-GC1002978	9.342481773449078E-5	0.28	ovarian cancer
Breast-GC1002979	7.947217018431739E-5	0.23	breast cancer
Breast-GC1002980	5.502931909632933E-5	0.21	ovarian cancer
Breast-GC1002981	6.841084778902831E-5	0.22	ovarian cancer
Breast-GC1003967	5.372727564993163E-5	0.28	ovarian cancer
Breast-GC1003968	8.63358686108067E-5	0.41	ovarian cancer
Breast-GC1003970	3.825169299781728E-5	0.22	ovarian cancer
Breast-GC1003971	7.814550365493734E-5	0.28	ovarian cancer
Breast-GC1003972	7.189787028996311E-5	0.36	ovarian cancer
Breast-GC1003974	5.5993841658907734E-5	0.26	ovarian cancer
Breast-GC1002311	6.315986985210259E-5	0.21	ovarian cancer
Breast-GC1004006	3.955224784428196E-5	0.23	ovarian cancer
Breast-GC1004007	7.609099964781376E-5	0.41	ovarian cancer
Breast-GC1004008	4.8191644369726976E-5	0.22	ovarian cancer
Breast-GC1004009	5.7333465044076755E-5	0.3	ovarian cancer
Breast-GC110693	6.725370299449034E-5	0.31	ovarian cancer
Breast-GC110694	6.302415614334767E-5	0.28	ovarian cancer
Breast-GC110695	1.052508985176601E-4	0.41	ovarian cancer
Breast-GC110696	6.129651692382183E-5	0.23	ovarian cancer
Breast-GC116960	7.367800466461334E-5	0.23	ovarian cancer
Breast-GC116963	3.960989425733609E-5	0.15	ovarian cancer
Breast-GC116964	1.4127557060991636E-4	0.21	colorectal cancer
Breast-GC116965	8.996216285859002E-5	0.16	colorectal cancer
Breast-GC116966	6.967398727973515E-5	0.23	ovarian cancer
Breast-GC116967	1.1172366069930046E-4	0.41	ovarian cancer
Breast-GC116968	6.146514660682168E-5	0.22	ovarian cancer
Breast-GC116969	5.351651581835267E-5	0.21	ovarian cancer
Breast-GC116970	8.298434025557013E-5	0.23	ovarian cancer
Breast-GC116971	7.58100069327723E-5	0.23	ovarian cancer
Breast-GC110676	6.66620620226738E-5	0.28	ovarian cancer
Breast-GC110678	9.19145734439768E-5	0.23	ovarian cancer
Breast-GC110679	1.6766175809261109E-4	0.41	breast cancer
Breast-GC110680	6.199761864552715E-5	0.32	ovarian cancer
Breast-GC110681	2.8677905549280623E-4	0.47	colorectal cancer
Breast-GC110682	9.462758921620926E-5	0.4	ovarian cancer
