Sample ID	Log-likelihood ratio	Predicted tumor burden	Predicted sample class
Colorectal-GC137551	8.055757598280616E-5	0.26	ovarian cancer
Colorectal-GC137552	1.0088258280987004E-4	0.32	ovarian cancer
Colorectal-GC137553	2.1035409360524533E-4	0.23	colorectal cancer
Colorectal-GC137554	1.8701209339392605E-4	0.23	colorectal cancer
Colorectal-GC137555	5.529550716473957E-5	0.1	colorectal cancer
Colorectal-GC137556	1.1462946251192549E-4	0.12	colorectal cancer
Colorectal-GC137557	1.2086154491897862E-5	0.15	ovarian cancer
Cervical-GC1002983	1.79543988113844E-4	0.16	colorectal cancer
Cervical-GC1002984	1.104363003686132E-4	0.23	ovarian cancer
Cervical-GC114187	1.689684544467626E-4	0.17	colorectal cancer
Cervical-GC114188	1.0010389186819883E-4	0.28	ovarian cancer
Control-GC1003986	4.9825482050652465E-5	0.2	ovarian cancer
Control-GC1003988	6.511311015870411E-5	0.22	ovarian cancer
Control-GC110675	4.456317100539709E-5	0.15	ovarian cancer
Control-GC112864	5.206198850355201E-5	0.27	ovarian cancer
Control-GC112894	2.2881098076419127E-4	0.23	colorectal cancer
Control-GC112895	1.592904972133243E-4	0.17	colorectal cancer
Control-GC112897	1.2674279733120345E-4	0.16	colorectal cancer
Control-GC119350	6.533439829630186E-5	0.12	colorectal cancer
Control-GC119351	7.571060761007039E-5	0.22	ovarian cancer
Control-GC119352	8.267453722148112E-5	0.1	colorectal cancer
Control-GC119353	1.5549932686745552E-4	0.17	colorectal cancer
Control-GC119354	9.401046069027701E-5	0.28	ovarian cancer
Control-GC119356	7.259506201068262E-5	0.21	ovarian cancer
Control-GRP-GC114128	6.194906081420663E-5	0.28	ovarian cancer
Control-GRP-GC114130	4.642677046754648E-5	0.15	ovarian cancer
Control-GRP-GC114131	8.495255666897182E-5	0.12	colorectal cancer
Control-GRP-GC114132	5.041272877509671E-5	0.15	ovarian cancer
Control-GRP-GC114133	8.513746100068627E-5	0.12	colorectal cancer
Control-GRP-GC114134	4.0285221434343854E-5	0.17	ovarian cancer
Control-GRP-GC114136	5.7997169161909E-5	0.17	ovarian cancer
Control-GRP-GC114137	2.4204564078801176E-5	0.11	ovarian cancer
Control-GRP-GC114139	6.99710493941469E-5	0.23	ovarian cancer
Control-GRP-GC114140	7.34110704191034E-5	0.3	ovarian cancer
Control-GRP-GC114141	6.573811499812508E-5	0.23	breast cancer
Control-GRP-GC114142	5.5288000812977774E-5	0.17	ovarian cancer
Control-GRP-GC114183	3.138693816366708E-5	0.11	ovarian cancer
Control-GRP-GC114185	6.99012686976497E-5	0.1	colorectal cancer
Control-GRP-GC114186	7.28590085165967E-5	0.21	ovarian cancer
Control-GRP-GC118464	9.174403319307704E-5	0.23	breast cancer
Control-GRP-GC118466	7.529681788020926E-5	0.17	ovarian cancer
Control-GRP-GC118474	6.465959678541425E-5	0.2	breast cancer
Control-GRP-GC118476	6.462724846233232E-5	0.17	ovarian cancer
Control-GRP-GC118478	4.329337565383024E-5	0.16	ovarian cancer
Control-GRP-GC118484	2.346417501800913E-5	0.08	ovarian cancer
Control-GRP-GC118485	3.713956513146869E-5	0.15	ovarian cancer
Control-GRP-GC118486	2.83441425538034E-5	0.07	ovarian cancer
Control-GRP-GC118489	4.654691552236209E-5	0.15	ovarian cancer
Control-GRP-GC118490	8.896530595345644E-5	0.11	colorectal cancer
Control-GRP-GC118491	6.199309077820296E-5	0.15	ovarian cancer
Control-GRP-GC118494	6.259355995549556E-5	0.16	ovarian cancer
Control-GRP-GC118496	3.318320677032845E-5	0.08	ovarian cancer
Control-GRP-GC118497	2.937584746158083E-5	0.08	ovarian cancer
Control-GRP-GC118499	5.460240692079416E-5	0.15	ovarian cancer
Control-GRP-GC119340	6.082149653491936E-5	0.15	ovarian cancer
Control-GRP-GC119343	3.842731787505218E-5	0.15	ovarian cancer
Control-GRP-GC119367	6.387665257502974E-5	0.23	ovarian cancer
Control-GRP-GC119369	2.4346983788384792E-5	0.08	ovarian cancer
Control-GRP-GC119370	3.420336030052063E-5	0.15	ovarian cancer
Control-GRP-GC119374	4.700568330237047E-5	0.15	ovarian cancer
Control-GRP-GC119375	1.0110299153910856E-4	0.23	ovarian cancer
Control-GRP-GC119377	5.404237404043972E-5	0.17	ovarian cancer
Control-GRP-GC119383	5.2100649635893534E-5	0.16	ovarian cancer
Control-GRP-GC119384	5.256904447098547E-5	0.15	ovarian cancer
Control-GRP-GC119386	6.4844147280081E-5	0.07	colorectal cancer
Control-GRP-GC119388	6.419565396127638E-5	0.21	ovarian cancer
Control-GRP-GC119389	3.339717744633472E-5	0.08	ovarian cancer
Control-GRP-GC119390	6.832530399686951E-5	0.21	ovarian cancer
Control-GRP-GC119391	3.948383833331003E-5	0.15	ovarian cancer
Control-GRP-GC119394	3.7434142549373965E-5	0.15	ovarian cancer
Control-GRP-GC119395	6.347378708380878E-5	0.22	ovarian cancer
Control-GRP-GC119397	6.37087821124243E-5	0.15	ovarian cancer
Control-GRP-GC119398	3.807679644105517E-5	0.08	ovarian cancer
Control-GRP-GC119399	4.22056924000454E-5	0.12	ovarian cancer
Control-GRP-GC119400	5.930226916841216E-5	0.16	breast cancer
Control-GRP-GC119401	4.646133915800898E-5	0.15	ovarian cancer
Control-GRP-GC119402	8.136868769087112E-5	0.21	ovarian cancer
Control-GRP-GC119403	4.981139811372846E-5	0.15	ovarian cancer
Control-GRP-GC119405	5.5950329477838016E-5	0.17	ovarian cancer
Control-GRP-GC119410	2.8619202025502387E-5	0.08	ovarian cancer
Control-GRP-GC119411	4.663522666300579E-5	0.15	ovarian cancer
Control-GRP-GC119415	3.4687328680159514E-5	0.15	ovarian cancer
Control-GRP-GC119416	8.229040039258217E-5	0.21	breast cancer
Control-GRP-GC119417	4.755685957476692E-5	0.15	ovarian cancer
Control-GRP-GC119419	6.256124493238091E-5	0.17	ovarian cancer
Control-GRP-GC119420	5.007529529835378E-5	0.15	ovarian cancer
Control-GRP-GC119421	7.805882929004187E-5	0.26	ovarian cancer
Control-GRP-GC119422	3.230506416193541E-5	0.15	ovarian cancer
Control-GRP-GC119426	6.305119673505327E-5	0.21	ovarian cancer
Control-GRP-GC119430	6.216257347355783E-5	0.21	ovarian cancer
Control-GRP-GC121331	3.807067473735008E-5	0.16	ovarian cancer
Control-GRP-GC121332	7.34385353485393E-5	0.24	ovarian cancer
Control-GRP-GC121336	1.5005862272255269E-5	0.08	ovarian cancer
Control-GRP-GC121337	3.950339958590954E-5	0.16	ovarian cancer
Control-GRP-GC121338	2.546702124387766E-5	0.15	ovarian cancer
Control-GRP-GC121339	4.4672351329368676E-5	0.15	ovarian cancer
Control-GRP-GC121340	3.554230388710752E-5	0.15	ovarian cancer
