Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Breast-GC116970,2.490,6.641,2.977,0.538,0.517,2.812,5.085,2.797,6.227,5.010,6.642,0.361,5.382,13.517,8.765,3.338,1.678,0.292,1.448,10.868,6.716,4.182,1.717
Breast-GC116971,1.044,8.308,5.478,0.540,5.237,1.246,5.641,9.312,4.736,3.678,2.744,3.631,2.535,4.927,5.335,5.661,5.186,5.574,3.155,1.561,3.495,4.707,6.271
Breast-GC110676,0.945,0.374,4.718,0.576,6.897,2.638,4.384,6.531,0.825,5.179,5.696,5.644,2.316,6.956,0.362,4.744,6.713,6.606,5.433,1.965,8.293,5.458,6.745
Breast-GC110678,1.089,5.749,6.401,1.348,5.332,2.299,2.406,9.855,0.115,4.722,13.137,4.586,4.566,3.632,2.219,1.359,5.907,3.743,0.389,6.896,5.624,1.460,7.165
Breast-GC110679,12.662,6.479,1.208,2.079,6.688,2.755,5.705,2.516,3.027,4.215,6.411,4.974,3.986,7.895,4.244,0.062,7.105,1.767,3.957,0.774,1.560,7.800,2.131
Breast-GC110680,0.311,7.429,6.019,0.131,0.198,4.109,3.953,5.913,0.369,2.859,2.298,4.721,8.399,15.585,3.998,10.590,3.436,0.832,9.720,0.448,0.735,4.676,3.271
Breast-GC110681,7.990,0.652,5.179,0.053,2.359,20.923,3.800,1.437,0.837,3.752,1.904,5.011,5.426,2.047,4.757,1.537,10.089,1.995,0.318,3.102,3.672,11.306,1.854
Breast-GC110682,1.720,2.168,5.102,0.235,0.855,6.397,5.917,3.724,2.049,6.094,7.731,5.409,6.779,7.775,1.312,3.190,3.490,4.145,3.855,1.287,4.804,9.154,6.807
Breast-GC110683,4.436,2.645,1.429,0.402,8.162,7.144,3.677,0.545,5.112,5.787,4.193,5.720,3.118,11.484,3.410,1.195,3.348,7.195,5.974,3.594,3.159,3.652,4.619
Breast-GC110684,2.226,4.715,1.259,0.500,0.588,4.464,5.034,3.978,4.807,2.908,3.927,3.776,9.978,5.096,4.205,5.731,2.374,6.678,6.719,2.955,5.182,6.734,6.164
Breast-GC110685,3.999,1.940,5.552,0.215,4.828,2.797,4.934,9.838,7.598,6.445,11.227,5.804,3.092,2.517,2.705,0.111,4.878,5.114,2.585,4.229,2.661,0.965,5.967
Ovarian-GC110686,1.984,1.500,1.649,0.733,5.219,0.775,3.624,12.428,6.289,14.749,5.049,3.177,2.229,0.987,11.629,2.042,1.970,0.666,9.020,0.955,3.725,1.513,8.087
Ovarian-GC114179,1.674,10.254,7.186,0.440,1.776,1.340,6.333,5.755,8.374,1.581,7.532,2.173,1.702,7.439,7.400,3.340,0.201,3.093,3.590,3.242,7.479,0.783,7.314
Ovarian-GC114180,0.607,6.447,5.788,0.618,5.407,0.529,6.606,15.216,5.331,0.212,8.840,2.793,4.600,2.443,7.238,0.287,6.203,4.007,4.586,1.717,3.515,0.899,6.111
Ovarian-GC114181,4.492,20.593,2.580,1.337,2.375,2.827,3.302,14.031,0.093,1.376,4.507,6.485,4.988,2.552,2.294,4.015,2.634,4.362,3.034,2.767,3.420,3.432,2.502
Ovarian-GC114182,11.198,6.993,5.163,0.734,3.967,14.903,3.069,2.306,1.118,1.272,4.213,3.506,1.765,2.142,1.606,6.525,6.908,4.449,7.188,3.670,1.767,1.975,3.563
Ovarian-GC116977,3.237,0.738,2.400,0.568,6.527,3.734,4.127,3.718,4.106,8.803,7.672,6.290,1.669,5.994,3.325,3.431,5.817,4.167,1.938,2.212,8.068,4.453,7.006
Ovarian-GC116979,4.896,8.404,4.601,0.816,13.354,0.531,6.244,0.237,7.993,0.683,4.361,2.465,0.278,0.520,2.900,5.242,0.644,0.646,5.242,10.487,6.368,8.051,5.037
Ovarian-GC116982,4.204,3.121,3.017,0.180,11.406,3.870,5.600,8.126,7.232,3.288,4.508,8.267,4.245,1.351,1.478,7.566,2.792,1.972,5.207,6.105,0.788,5.237,0.439
Ovarian-GC116990,0.611,7.128,4.506,0.772,4.276,2.583,3.565,3.622,3.027,5.956,5.013,2.129,7.608,4.687,8.580,6.603,2.382,1.477,3.202,6.872,0.211,10.548,4.643
Ovarian-GC119363,0.529,10.777,1.952,1.004,9.343,2.564,2.824,4.427,9.069,12.388,3.952,5.023,3.059,2.908,0.810,4.877,4.538,4.896,6.557,1.481,1.616,4.250,1.154
Ovarian-GC119364,0.984,5.260,4.831,0.335,2.661,0.940,6.158,0.112,8.727,7.732,7.840,3.034,8.976,0.648,0.578,3.362,2.887,5.620,9.421,1.332,6.489,5.638,6.434
Ovarian-GC119365,12.153,2.586,6.014,0.107,41.176,10.271,3.669,2.388,2.742,1.270,0.539,2.993,0.690,0.834,0.414,2.705,2.238,0.993,2.678,0.037,0.962,2.205,0.337
