Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Colorectal-GC121330,0.929,5.185,3.189,1.177,0.202,0.377,3.017,3.346,2.066,0.099,1.813,0.999,1.107,0.265,0.290,0.240,0.802,1.333,0.348,1.484,0.552,0.314,1.134,0.178,0.605,8.564,1.473,2.348,0.296,0.002,2.475,7.553,3.678,2.424,2.677,7.166,0.442,0.187,0.776,2.655,1.443,2.570,2.025,1.591,1.224,2.431,4.033,2.792,6.965,1.158
Colorectal-GC1003994,0.867,9.154,2.635,1.048,0.775,1.038,1.908,2.177,2.710,2.916,0.832,3.435,1.117,1.049,2.475,0.210,1.739,0.484,2.261,2.085,2.285,0.887,1.306,0.032,0.405,0.414,0.204,0.022,0.044,0.370,1.147,0.320,1.317,4.600,1.156,4.481,0.405,3.172,3.052,3.387,0.565,1.416,3.743,10.481,1.911,1.925,0.875,5.772,2.629,0.761
Colorectal-GC1003995,1.605,0.202,0.948,2.027,1.974,0.219,3.030,2.188,2.232,1.747,2.655,0.278,0.227,2.409,0.621,1.504,0.770,1.400,0.961,1.571,0.233,2.796,0.699,3.738,0.499,0.998,0.649,1.598,0.868,11.819,10.363,8.228,1.216,2.308,1.720,2.111,1.735,1.795,2.003,0.585,2.941,2.197,1.693,1.590,1.655,2.549,2.194,0.009,0.497,0.148
Colorectal-GC1003996,1.389,4.429,0.219,7.664,8.102,5.608,0.931,5.974,4.543,2.352,0.051,5.938,2.339,0.340,1.392,0.165,0.302,2.829,1.174,1.567,1.496,1.908,2.320,0.213,0.089,0.479,0.680,0.374,1.658,1.660,0.688,1.129,0.619,1.018,3.866,0.327,1.223,0.709,0.087,2.589,3.661,1.772,0.824,0.959,1.052,1.636,4.093,0.392,0.087,5.081
Colorectal-GC1003997,4.727,2.186,3.101,2.399,0.087,3.509,2.465,3.529,4.223,1.432,1.331,2.807,1.321,1.592,0.229,1.569,1.224,3.049,0.126,0.800,0.932,1.350,1.817,0.117,0.558,0.021,0.431,0.007,0.435,0.188,0.203,0.350,1.921,2.397,2.969,2.020,1.791,6.737,0.891,0.993,0.885,7.550,5.431,1.594,1.917,4.720,4.227,3.219,1.881,0.744
Colorectal-GC1003998,4.050,4.076,0.606,0.767,2.607,1.615,1.952,2.885,4.489,1.238,8.168,0.936,1.423,5.777,1.805,0.992,2.027,1.344,2.022,2.213,0.266,1.469,2.055,0.144,0.506,0.158,0.133,0.229,1.167,0.469,1.476,2.229,2.544,0.126,2.028,1.719,3.509,1.976,2.739,0.151,0.534,3.006,4.400,5.303,1.604,0.801,1.169,2.826,1.101,3.174
Colorectal-GC1003999,5.349,7.108,0.713,0.938,1.633,1.572,1.253,1.002,2.135,0.744,0.015,0.509,2.759,1.040,2.945,1.236,1.477,2.484,0.669,1.214,0.121,1.303,0.809,0.471,1.097,0.909,2.905,1.163,0.220,0.001,2.067,1.581,1.533,1.981,2.214,6.971,1.130,1.304,2.428,4.402,2.872,5.245,1.263,1.498,0.457,4.582,4.450,5.245,1.187,1.795
Colorectal-GC1004000,0.989,0.014,1.401,0.819,2.467,1.506,0.267,0.353,0.375,0.698,0.568,0.744,2.489,0.964,0.696,1.368,0.847,1.280,2.464,1.623,0.159,0.145,0.761,0.586,1.340,0.492,0.150,1.125,1.545,0.381,26.744,15.539,0.682,0.413,1.564,0.830,0.421,0.590,2.525,0.167,5.824,2.206,0.200,0.819,2.696,1.731,1.700,2.211,2.313,2.211
Colorectal-GC1004001,5.206,0.295,0.476,4.972,3.459,2.093,3.308,4.765,4.345,0.763,5.208,3.784,3.554,0.116,1.629,1.091,1.000,2.513,0.217,1.739,0.766,0.435,0.949,0.064,0.038,0.231,0.080,0.110,0.317,0.024,0.543,0.210,0.363,4.088,1.114,4.663,0.454,0.995,1.979,2.630,6.940,1.266,5.523,2.219,0.892,0.270,0.229,2.229,3.448,6.394
Colorectal-GC1004002,1.920,3.282,1.886,0.288,1.828,1.968,3.224,1.976,1.974,3.349,3.476,0.029,2.601,1.651,0.133,3.236,4.933,0.598,0.687,1.967,2.022,1.602,0.305,0.919,0.364,0.185,0.481,0.040,0.633,0.794,0.843,0.851,1.757,2.712,1.251,0.937,0.918,2.287,1.091,3.453,3.357,2.185,4.785,4.199,3.279,5.812,5.214,1.287,5.259,0.168
