Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Control-GRP-GC118490,0.000,4.730,9.376,0.001,5.884,0.138,4.276,3.622,4.323,1.112,14.444,0.950,15.579,35.564
Control-GRP-GC118491,0.000,1.083,20.150,0.000,0.135,1.266,0.766,1.836,2.520,14.270,10.673,1.703,4.709,40.888
Control-GRP-GC118494,0.006,5.003,4.375,0.000,6.384,0.003,3.874,2.070,0.356,3.327,21.358,1.528,16.858,34.858
Control-GRP-GC118496,0.000,2.925,6.263,0.069,6.622,0.333,0.057,0.004,0.067,5.108,3.848,0.446,53.906,20.353
Control-GRP-GC118497,0.000,1.093,16.187,0.005,0.069,0.040,2.320,0.836,0.125,8.949,9.392,2.818,22.264,35.902
Control-GRP-GC118499,0.018,6.044,9.306,0.009,1.606,0.027,1.081,2.002,1.527,5.033,9.787,1.609,35.094,26.858
Control-GRP-GC119340,0.000,4.196,11.678,0.000,0.932,0.001,1.356,4.440,0.040,11.565,16.282,2.265,12.792,34.452
Control-GRP-GC119343,0.000,0.136,16.601,0.000,0.029,0.000,0.321,3.435,1.857,15.234,10.761,2.489,0.016,49.121
Control-GRP-GC119367,0.000,5.796,13.549,0.000,6.029,0.897,1.111,0.014,0.578,5.536,18.671,3.743,6.019,38.057
Control-GRP-GC119369,0.000,4.446,9.386,0.000,0.861,0.000,0.013,0.183,2.285,7.042,8.249,1.502,30.971,35.062
Control-GRP-GC119370,0.000,10.439,3.286,0.000,3.554,0.069,2.523,0.551,2.637,4.068,19.948,1.648,14.632,36.644
Control-GRP-GC119374,0.000,5.079,8.906,0.000,0.251,0.002,1.975,3.192,1.948,3.230,21.387,5.756,20.319,27.954
Control-GRP-GC119375,0.003,10.455,6.908,0.000,7.945,0.002,1.911,2.919,0.780,8.907,15.843,2.779,9.959,31.590
Control-GRP-GC119377,0.000,8.411,12.211,0.000,0.426,0.014,2.639,4.420,0.445,8.306,12.411,2.650,13.689,34.376
Control-GRP-GC119383,0.000,6.682,12.663,0.002,0.337,0.001,1.551,1.985,2.160,3.256,16.648,2.004,3.054,49.657
Control-GRP-GC119384,0.000,7.504,14.625,0.000,0.563,0.000,1.533,2.061,1.361,2.994,14.658,3.616,19.050,32.035
Control-GRP-GC119386,0.533,8.514,18.168,3.084,0.039,0.188,1.066,2.000,0.367,0.646,13.857,0.896,18.782,31.861
Control-GRP-GC119388,0.014,4.201,6.915,0.708,0.736,1.493,3.542,1.176,0.170,10.783,19.991,4.973,14.982,30.316
Control-GRP-GC119389,0.000,1.390,22.662,0.000,0.250,0.000,0.000,1.640,0.469,11.130,7.743,3.005,14.136,37.574
Control-GRP-GC119390,0.079,2.145,17.445,2.247,3.918,1.107,0.746,0.701,0.002,7.493,15.824,2.813,6.231,39.248
Control-GRP-GC119391,0.000,5.492,17.631,0.112,0.016,0.000,0.229,2.607,0.073,14.136,8.680,5.582,10.817,34.626
Control-GRP-GC119394,0.000,0.092,13.243,0.000,1.521,0.000,0.519,2.792,3.923,8.334,11.533,2.996,7.417,47.629
Control-GRP-GC119395,0.000,12.136,0.866,0.803,0.378,0.191,2.458,1.325,1.156,15.743,16.100,1.855,4.551,42.437
Control-GRP-GC119397,0.001,15.988,4.982,0.000,1.473,0.007,0.390,0.047,1.254,6.042,12.943,3.693,25.972,27.208
Control-GRP-GC119398,0.001,3.722,11.399,0.200,0.795,0.009,0.118,0.443,0.055,6.001,9.418,1.701,37.872,28.267
Control-GRP-GC119399,0.582,3.161,21.781,0.000,0.515,0.000,0.087,0.449,1.227,8.850,11.707,1.702,16.885,33.056
Control-GRP-GC119400,0.006,19.240,3.615,0.018,0.070,0.505,0.003,0.587,0.760,9.902,8.729,0.550,35.411,20.605
Control-GRP-GC119401,0.000,0.915,22.857,0.010,1.037,0.060,0.444,3.267,0.520,11.457,12.237,1.474,10.520,35.201
Control-GRP-GC119402,0.000,12.683,4.590,0.000,0.293,0.828,2.319,2.117,3.866,6.084,11.382,2.236,20.780,32.821
Control-GRP-GC119403,0.000,4.436,16.939,0.005,0.806,0.000,0.740,0.573,0.602,2.668,8.046,1.791,32.510,30.884
Control-GRP-GC119405,0.000,5.009,12.611,0.000,0.171,2.632,1.215,0.025,2.831,3.300,15.627,3.104,22.761,30.714
Control-GRP-GC119410,0.000,0.193,26.395,0.000,0.007,0.000,0.260,2.583,0.189,8.104,6.040,1.038,18.734,36.455
Control-GRP-GC119411,0.000,14.418,6.965,0.000,0.092,0.004,0.360,0.470,0.100,6.430,13.324,3.997,20.068,33.771
Control-GRP-GC119415,0.000,1.108,6.338,0.000,0.367,1.233,0.814,1.181,0.474,12.219,16.490,3.818,19.457,36.501
Control-GRP-GC119416,0.017,16.571,8.441,0.000,0.996,0.000,1.614,1.816,0.228,3.903,8.675,2.707,18.609,36.424
Control-GRP-GC119417,0.000,6.239,14.696,0.501,0.531,0.256,1.179,3.195,1.111,1.122,13.286,0.362,16.957,40.565
Control-GRP-GC119419,0.133,2.695,2.839,2.072,2.135,0.001,3.801,3.701,2.283,3.946,11.862,3.989,31.738,28.805
Control-GRP-GC119420,0.000,2.584,13.304,0.000,2.258,0.001,0.081,1.202,1.658,4.587,8.355,0.682,39.265,26.024
Control-GRP-GC119421,0.000,8.120,0.385,0.033,13.151,0.953,6.519,0.261,0.287,4.619,11.078,0.007,12.435,42.154
Control-GRP-GC119422,0.003,1.910,15.540,0.009,1.208,0.000,0.109,2.006,1.773,10.444,17.933,1.168,7.493,40.405
Control-GRP-GC119426,1.700,3.149,8.673,0.691,1.507,0.000,1.880,2.417,3.683,4.882,14.009,3.882,24.181,29.346
Control-GRP-GC119430,0.041,4.016,14.638,0.471,0.154,0.020,1.787,1.991,3.616,16.427,9.476,4.076,0.350,42.935
Control-GRP-GC121331,0.000,0.902,12.972,1.176,7.457,0.000,0.000,6.498,0.052,3.348,7.244,0.506,9.438,50.404
Control-GRP-GC121332,0.741,0.884,4.668,0.537,6.918,0.315,2.753,2.210,1.089,8.528,5.368,3.083,44.455,18.451
