Sample ID	Log-likelihood ratio	Predicted tumor burden	Predicted sample class
Breast-GC1002975	1.6651959940446618E-5	0.14	colorectal cancer
Breast-GC1002976	3.025145050876474E-5	0.23	colorectal cancer
Breast-GC1002977	3.846473671799276E-6	0.07	colorectal cancer
Breast-GC1002978	1.9378076936229475E-5	0.16	colorectal cancer
Breast-GC1002979	1.404902669616E-5	0.21	breast cancer
Breast-GC1002980	9.85411696697188E-6	0.12	colorectal cancer
Breast-GC1002981	1.410709071833082E-5	0.12	colorectal cancer
Breast-GC1003967	7.878289303173944E-6	0.17	colorectal cancer
Breast-GC1003968	1.264227008158832E-5	0.21	colorectal cancer
Breast-GC1003970	5.299717503358879E-6	0.12	colorectal cancer
Breast-GC1003971	1.1371543570540924E-5	0.17	colorectal cancer
Breast-GC1003972	1.1042541034638943E-5	0.21	colorectal cancer
Breast-GC1003974	7.599783339381902E-6	0.14	colorectal cancer
Breast-GC1002311	1.360569644966306E-5	0.12	colorectal cancer
Breast-GC1004006	4.875098139964185E-6	0.16	colorectal cancer
Breast-GC1004007	1.080174590446888E-5	0.21	colorectal cancer
Breast-GC1004008	6.8624340763518305E-6	0.12	colorectal cancer
Breast-GC1004009	7.632516489278933E-6	0.16	colorectal cancer
Breast-GC110693	1.0790953203918978E-5	0.21	colorectal cancer
Breast-GC110694	8.776613200884896E-6	0.15	colorectal cancer
Breast-GC110695	1.8060126146746525E-5	0.23	colorectal cancer
Breast-GC110696	1.041166177724644E-5	0.16	colorectal cancer
Breast-GC116960	1.383491257092071E-5	0.16	colorectal cancer
Breast-GC116963	6.24306234430417E-6	0.1	ovarian cancer
Breast-GC116964	2.9688445809231058E-5	0.28	colorectal cancer
Breast-GC116965	1.8040568761601865E-5	0.21	colorectal cancer
Breast-GC116966	1.229612214212475E-5	0.15	colorectal cancer
Breast-GC116967	1.9850166820531914E-5	0.23	colorectal cancer
Breast-GC116968	1.141759527240441E-5	0.12	colorectal cancer
Breast-GC116969	8.820180100529422E-6	0.11	colorectal cancer
Breast-GC116970	1.447412520452097E-5	0.14	colorectal cancer
Breast-GC116971	1.2493388836764845E-5	0.14	colorectal cancer
Breast-GC110676	1.0101746198981911E-5	0.16	colorectal cancer
Breast-GC110678	1.758654134896646E-5	0.14	colorectal cancer
Breast-GC110679	2.8051782642345554E-5	0.41	breast cancer
Breast-GC110680	1.052841524079405E-5	0.17	colorectal cancer
Breast-GC110681	4.992862564356321E-5	0.58	colorectal cancer
Breast-GC110682	1.5006434729402816E-5	0.23	colorectal cancer
Breast-GC110683	2.3116760546180457E-5	0.28	colorectal cancer
Breast-GC110684	1.3499737318575048E-5	0.17	colorectal cancer
Breast-GC110685	1.3685892212781382E-5	0.15	colorectal cancer
Ovarian-GC110686	3.6180498050778504E-6	0.1	colorectal cancer
Ovarian-GC114179	8.220031878975518E-6	0.12	colorectal cancer
Ovarian-GC114180	5.089205124590619E-6	0.08	colorectal cancer
Ovarian-GC114181	1.2313092426436724E-5	0.16	colorectal cancer
Ovarian-GC114182	4.075047355935388E-5	0.58	colorectal cancer
Ovarian-GC116977	1.613259406120163E-5	0.21	colorectal cancer
Ovarian-GC116979	1.8414963297598454E-5	0.23	ovarian cancer
Ovarian-GC116982	2.3258921389384626E-5	0.26	ovarian cancer
Ovarian-GC116990	1.0966396487534395E-5	0.15	colorectal cancer
Ovarian-GC119363	2.0088496472500482E-5	0.23	ovarian cancer
Ovarian-GC119364	4.288771966999226E-6	0.12	colorectal cancer
Ovarian-GC119365	3.370275888847392E-5	0.82	ovarian cancer
Ovarian-GC119366	1.4090300582614292E-5	0.17	colorectal cancer
Colorectal-GC121326	1.3335932819510751E-5	0.17	colorectal cancer
Colorectal-GC121327	9.97416829355553E-6	0.17	colorectal cancer
Colorectal-GC121328	1.6199761960199853E-5	0.23	colorectal cancer
Colorectal-GC121329	4.5158848075149485E-5	0.41	colorectal cancer
Colorectal-GC121330	2.3071637510838675E-5	0.41	colorectal cancer
Colorectal-GC1003994	5.168899090301952E-6	0.1	colorectal cancer
Colorectal-GC1003995	4.9030792302752936E-5	0.41	colorectal cancer
Colorectal-GC1003996	1.1877357996725483E-5	0.15	colorectal cancer
Colorectal-GC1003997	3.138724887105533E-6	0.08	colorectal cancer
Colorectal-GC1003998	1.0567728650495595E-5	0.17	colorectal cancer
