Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Control-GRP-GC119398,2.989,1.265,0.429,8.336,6.460,5.088,8.325,1.728,0.878,1.511,6.759,5.178,0.979,1.631,4.095,0.401,2.487,6.030,0.795,1.871,0.820,2.300,1.915,0.440,0.817,0.344,0.499,0.266,0.016,0.152,0.064,0.097,1.658,1.395,1.122,0.920,0.862,1.082,2.682,2.226,1.127,1.745,1.154,0.534,0.550,0.062,1.367,3.751,1.613,1.185
Control-GRP-GC119399,1.715,3.021,4.841,3.474,3.747,4.222,0.664,1.716,4.714,3.896,3.519,3.512,2.714,1.740,5.115,5.501,5.100,3.136,2.181,0.708,0.578,1.994,0.628,0.533,0.956,0.524,0.275,0.490,0.066,0.211,0.203,0.006,2.417,2.220,0.786,2.096,0.007,1.697,2.194,1.231,0.798,0.193,0.680,1.320,0.717,1.241,2.239,5.044,1.479,1.942
Control-GRP-GC119400,3.422,0.495,3.780,0.493,1.148,5.337,3.074,9.878,0.643,7.447,2.530,0.683,1.761,2.603,2.593,0.126,5.587,2.990,2.072,3.240,0.755,3.214,0.965,0.346,1.942,0.691,1.374,0.450,0.410,0.258,0.064,0.223,0.742,2.659,0.301,0.807,0.075,1.965,3.736,2.817,0.567,2.122,1.832,1.820,1.759,1.582,1.852,2.328,1.907,0.537
Control-GRP-GC119401,5.313,1.365,2.506,4.097,2.266,0.074,2.202,1.630,5.747,1.201,2.749,6.525,4.117,1.890,1.727,4.407,3.214,5.100,0.997,3.060,1.156,2.226,1.260,0.381,0.992,0.478,0.435,0.031,0.363,0.085,0.016,0.326,1.908,0.953,1.248,0.443,1.517,1.431,4.748,3.799,0.067,0.607,1.392,1.536,3.718,0.224,1.696,3.501,2.398,0.880
Control-GRP-GC119402,2.011,3.592,0.182,0.465,4.526,3.977,0.689,4.145,3.680,4.622,4.059,3.368,2.229,2.182,2.321,3.873,4.055,2.747,2.292,2.022,0.350,1.719,3.120,0.677,0.784,1.161,0.626,0.234,0.462,0.266,0.376,0.682,1.967,2.285,1.711,1.104,0.451,2.137,2.455,1.588,0.616,2.824,1.596,1.920,2.135,1.425,1.470,1.721,2.637,2.462
Control-GRP-GC119403,3.099,2.468,4.674,7.048,1.913,6.473,0.761,7.896,4.148,0.872,3.761,0.007,2.350,2.072,5.506,3.142,3.944,1.894,1.159,1.292,0.115,1.295,3.474,0.251,0.348,1.028,0.759,0.356,0.596,0.104,0.084,0.267,0.302,0.694,2.293,0.496,1.495,0.056,2.234,3.925,2.512,1.196,3.007,1.950,2.110,1.577,0.580,1.313,0.841,0.264
Control-GRP-GC119405,0.885,2.823,3.972,3.403,1.227,6.361,4.704,4.918,0.379,1.395,2.281,4.444,0.580,4.175,2.913,3.474,1.738,0.355,0.431,3.242,2.777,1.838,2.396,0.709,0.224,1.869,0.483,0.218,0.186,0.202,0.180,1.055,1.157,2.094,1.148,0.670,0.056,3.513,3.726,2.973,1.562,1.711,3.797,0.881,3.051,0.624,2.477,4.037,0.204,0.481
Control-GRP-GC119410,1.570,0.550,4.009,0.045,5.758,5.593,0.826,2.699,3.903,4.893,1.407,1.796,4.471,2.999,4.961,1.323,10.996,0.666,0.449,5.677,2.039,3.111,1.749,0.720,1.537,0.008,0.047,0.275,0.213,0.113,0.062,0.125,1.707,1.903,1.925,0.365,1.876,1.034,0.943,0.014,2.720,2.890,2.891,0.519,1.919,0.948,0.307,2.757,0.049,0.643
Control-GRP-GC119411,2.086,1.528,4.359,1.868,1.244,7.168,4.456,2.654,2.615,6.983,0.802,4.936,3.495,1.684,3.502,1.736,2.867,1.155,0.339,5.404,0.963,2.774,1.867,0.024,1.130,0.832,1.058,0.459,0.124,0.185,0.007,0.240,2.401,2.829,0.830,1.867,1.186,1.302,0.765,2.446,1.820,2.611,3.778,3.642,1.689,0.107,0.270,0.704,1.170,0.040
Control-GRP-GC119415,2.998,3.898,5.161,3.079,5.196,2.539,4.912,2.327,0.799,3.146,2.382,5.272,4.208,1.474,1.386,5.195,1.883,0.816,3.770,1.745,1.583,2.633,1.267,0.461,0.309,0.441,0.485,0.004,0.144,0.057,0.160,0.186,3.139,1.940,1.633,1.888,0.754,0.247,1.940,1.316,0.548,2.708,3.284,2.059,2.152,1.263,0.780,3.790,0.271,0.372
Control-GRP-GC119416,2.682,3.896,4.235,1.995,4.820,3.670,3.168,4.449,0.319,2.681,5.352,2.720,0.048,3.776,1.410,0.905,2.636,2.686,0.886,5.476,0.959,1.142,2.687,1.067,1.869,1.089,0.723,1.032,0.366,0.110,0.275,1.062,2.955,1.297,2.937,0.857,1.167,0.417,2.335,1.579,1.747,4.174,5.428,0.460,1.509,0.154,1.318,0.254,0.409,0.813
Control-GRP-GC119417,2.906,1.001,6.213,3.030,3.965,5.625,1.526,1.999,0.033,5.659,5.825,3.109,1.761,3.328,2.194,0.804,3.982,4.911,1.125,1.700,1.306,2.555,2.346,0.072,1.198,0.816,0.775,0.469,0.420,0.329,0.116,0.058,0.859,1.161,2.322,1.275,0.200,2.349,0.364,3.142,4.048,0.244,1.863,3.963,2.088,0.862,1.816,0.591,1.356,0.344
Control-GRP-GC119419,3.112,3.152,0.119,3.136,4.317,6.328,5.620,5.949,4.656,0.104,4.994,4.150,3.386,3.260,4.186,3.287,0.542,0.154,2.973,0.196,1.603,3.348,0.600,0.330,0.839,0.470,0.500,0.984,0.526,0.443,0.244,0.820,0.273,0.551,0.345,0.166,2.278,2.424,0.807,0.602,1.706,2.553,1.130,2.223,1.951,3.377,2.393,0.192,0.195,2.507
Control-GRP-GC119420,3.367,1.477,2.059,2.202,6.631,7.959,5.300,3.493,7.570,1.189,4.280,2.382,1.299,1.535,2.532,1.494,2.653,3.718,1.343,0.466,0.504,1.070,1.968,0.309,1.388,0.793,0.543,0.141,0.604,0.055,0.252,0.103,1.060,0.760,2.118,1.237,1.987,0.332,2.845,2.447,0.019,0.853,2.363,1.395,2.144,1.850,3.463,3.549,0.114,0.786
Control-GRP-GC119421,3.219,3.411,1.006,1.038,1.075,4.737,6.637,1.071,2.950,0.772,4.225,1.857,0.047,2.404,3.100,3.603,0.513,0.525,4.562,1.579,1.472,1.709,1.480,0.044,1.769,0.939,0.237,0.670,1.225,0.061,0.722,1.286,3.182,3.324,0.621,1.516,2.956,2.145,3.193,0.978,0.086,3.449,0.677,0.363,3.101,3.447,3.231,2.549,4.065,1.168
Control-GRP-GC119422,0.544,3.665,4.097,1.432,0.564,4.478,0.619,4.307,3.060,4.912,1.741,4.942,0.624,1.117,4.499,5.067,5.284,3.106,1.654,4.364,0.452,1.978,3.101,0.399,0.422,0.341,1.025,0.285,0.349,0.071,0.145,0.293,1.928,0.605,1.907,0.475,0.512,2.043,3.836,3.552,3.013,2.188,1.402,2.542,0.886,1.512,2.092,0.093,0.210,2.266
Control-GRP-GC119426,2.781,1.848,3.565,5.097,4.563,3.747,2.565,4.472,5.103,3.614,0.975,1.099,3.066,2.659,4.867,0.146,0.017,3.359,1.421,3.358,0.725,4.125,0.131,1.141,0.722,0.756,0.829,0.407,0.943,0.278,0.127,0.685,3.783,0.020,0.791,2.260,2.844,0.079,0.739,3.899,1.045,2.148,1.772,0.113,0.157,0.271,4.535,2.049,2.582,1.721
Control-GRP-GC119430,0.961,3.852,3.646,1.724,0.765,0.944,0.045,2.177,3.785,2.934,2.149,5.157,0.061,4.054,0.857,1.569,3.946,1.945,5.378,5.296,0.108,2.495,4.091,0.533,1.460,0.709,0.641,0.673,0.867,0.168,0.475,0.444,0.124,0.286,3.764,1.363,2.718,1.243,3.315,2.689,3.029,0.039,2.198,0.000,1.351,0.773,3.206,5.249,3.240,1.502
Control-GRP-GC121331,2.879,3.267,3.489,2.117,3.946,0.880,4.985,4.542,3.155,3.050,2.065,5.950,2.458,2.349,2.923,1.604,2.545,5.013,3.418,1.729,0.959,2.551,3.048,1.111,0.139,0.075,0.385,0.126,0.467,0.340,0.123,0.155,2.541,2.012,1.464,0.026,1.394,1.698,2.041,4.018,0.584,2.308,1.271,1.774,0.646,1.454,0.551,1.991,0.466,1.921
Control-GRP-GC121332,3.306,1.224,4.965,7.038,4.180,4.835,4.415,5.290,0.307,3.317,1.651,1.360,1.670,0.713,2.323,2.494,3.092,3.234,1.071,1.739,2.128,2.085,2.321,0.566,0.461,0.548,1.160,0.809,0.681,0.117,0.787,0.950,0.848,1.680,0.398,1.605,2.132,2.337,0.031,0.698,2.488,0.636,2.777,2.032,1.881,3.806,2.571,1.010,1.668,0.564
Control-GRP-GC121336,4.119,3.842,0.454,1.755,3.853,4.063,0.973,1.149,3.291,2.984,0.210,5.323,1.414,2.185,3.475,5.528,2.983,5.008,3.301,3.528,1.734,2.259,2.488,0.283,0.506,0.162,0.317,0.288,0.094,0.033,0.033,0.087,2.380,2.194,0.481,2.325,0.336,0.718,0.857,3.710,0.357,4.240,1.238,4.152,2.786,0.655,1.922,1.764,0.013,2.151
Control-GRP-GC121337,3.731,4.249,4.125,0.179,1.340,4.256,2.564,1.918,1.769,3.052,1.608,1.247,0.853,3.817,3.447,4.023,3.887,3.116,3.440,3.873,1.390,2.344,2.354,0.740,1.310,0.048,0.159,0.291,0.574,0.081,0.245,0.593,2.011,1.693,2.506,0.820,3.000,0.663,1.739,0.743,2.050,0.591,5.589,1.089,3.193,2.545,1.164,3.651,0.320,0.011
Control-GRP-GC121338,1.032,1.505,4.430,0.756,3.591,1.772,6.820,6.540,3.792,3.210,1.633,0.015,3.817,0.016,5.924,5.388,2.358,0.809,4.415,3.092,0.155,3.193,1.932,0.600,1.257,0.265,0.642,0.152,0.273,0.014,0.107,0.127,2.478,0.953,2.297,1.020,0.972,1.622,1.856,1.820,1.078,1.197,3.774,0.941,2.580,2.977,0.093,2.240,0.620,1.854
Control-GRP-GC121339,2.553,1.468,0.404,4.132,7.791,2.261,1.245,4.610,2.971,3.035,3.619,2.335,2.903,0.412,3.385,1.601,2.362,4.292,3.674,1.185,1.420,2.273,2.471,0.638,0.110,0.794,0.380,0.470,0.592,0.124,0.180,0.279,2.826,2.447,0.316,1.621,0.885,1.469,2.479,1.967,4.633,3.794,0.343,4.181,0.190,0.759,3.414,2.164,0.003,0.537
Control-GRP-GC121340,2.330,1.586,5.167,0.276,5.830,5.108,6.779,2.428,0.026,4.811,3.506,4.622,2.836,0.219,4.190,0.778,2.950,4.497,3.242,2.087,0.059,1.946,2.057,0.528,0.811,0.635,0.543,0.090,0.380,0.104,0.101,0.149,1.850,1.395,0.512,1.327,1.282,1.414,1.598,2.690,2.100,2.416,0.280,1.311,1.130,2.672,2.637,3.819,0.293,0.604
Control-GRP-GC121341,2.977,2.435,1.943,1.055,1.150,1.568,3.220,1.511,2.660,4.152,0.967,2.584,3.221,1.888,3.179,6.913,0.978,6.374,1.737,3.061,3.233,1.780,1.320,1.001,0.589,0.939,1.269,0.327,0.839,0.440,0.092,0.552,0.761,1.924,1.099,0.598,1.839,2.139,4.797,0.035,0.597,3.165,2.458,1.550,2.399,1.104,2.247,2.917,2.468,1.949
Control-GRP-GC121342,1.514,0.833,4.296,2.047,5.124,3.127,3.464,2.186,1.539,6.736,1.999,1.401,1.503,2.751,4.122,3.130,1.827,5.679,1.344,0.292,1.594,2.109,1.289,1.064,0.951,1.160,1.622,0.137,0.555,0.150,0.351,0.738,1.670,3.332,1.666,1.261,0.328,1.248,0.808,5.145,3.210,3.054,0.060,1.360,0.220,0.333,1.124,3.783,2.625,2.140
Control-GRP-GC121343,4.019,0.453,3.921,4.020,0.148,2.918,1.911,2.060,2.563,0.880,5.105,1.025,3.130,3.311,5.924,5.147,4.290,0.525,1.395,2.803,0.983,1.190,2.275,1.207,0.840,1.093,0.528,0.232,0.576,0.204,0.245,0.730,2.311,2.937,2.179,1.422,2.208,2.237,1.213,0.980,0.049,0.438,3.231,2.823,0.547,0.010,2.936,4.111,2.070,2.645
Control-GRP-GC121346,2.059,1.576,7.460,0.873,3.045,7.287,5.781,4.976,1.190,0.471,6.245,3.633,0.294,1.042,4.729,2.994,4.299,0.969,2.609,3.957,2.153,1.925,1.238,0.368,0.856,0.369,0.564,0.144,0.030,0.032,0.005,0.251,0.153,1.659,1.981,0.727,0.419,1.361,2.912,0.344,3.275,0.519,2.763,0.757,1.146,2.159,1.055,3.443,0.057,1.846
Control-GRP-GC121347,1.841,2.581,4.199,3.200,3.636,3.850,4.453,3.591,2.209,4.508,2.743,0.025,0.043,0.107,1.751,0.331,5.778,5.124,3.938,1.873,1.944,3.219,0.127,1.629,0.994,1.526,0.417,0.528,0.452,0.253,0.601,0.994,0.802,1.320,2.468,0.134,1.826,2.264,1.676,4.091,1.254,2.469,1.826,1.093,2.288,0.835,2.042,1.562,1.416,2.170
Control-GRP-GC121348,1.238,2.366,3.824,3.536,2.908,11.648,5.343,2.404,4.426,3.220,1.372,3.356,3.156,0.444,4.904,1.333,3.145,1.824,2.190,1.347,0.325,2.610,2.649,0.544,0.184,0.378,0.097,0.398,0.589,0.126,0.072,0.246,0.444,2.890,2.393,0.691,1.745,1.313,1.337,0.935,2.501,0.630,0.043,1.605,2.048,0.575,0.591,3.651,2.216,2.191
Control-GRP-GC121349,2.896,2.623,2.624,3.497,6.651,3.986,6.998,2.683,2.610,3.576,3.843,4.549,0.081,0.401,5.397,4.838,4.737,1.485,4.206,4.963,1.544,2.260,0.383,0.014,0.481,0.701,0.251,0.164,0.186,0.107,0.014,0.122,1.930,0.546,0.619,0.209,0.804,1.385,0.016,2.384,1.930,1.504,0.324,0.143,2.111,1.736,0.360,3.572,0.752,0.805
