Sample ID	Log-likelihood ratio	Predicted tumor burden	Predicted sample class
Breast-GC1002975	8.700353207095861E-4	0.13	ovarian cancer
Breast-GC1002976	0.0014008980759847329	0.58	colorectal cancer
Breast-GC1002977	5.364191582824179E-4	0.01	ovarian cancer
Breast-GC1002978	0.003140828776444501	0.42	ovarian cancer
Breast-GC1002979	9.624374718026831E-4	0.16	breast cancer
Breast-GC1002980	6.277295319237499E-4	0.13	ovarian cancer
Breast-GC1002981	7.767667656485179E-4	0.11	ovarian cancer
Breast-GC1003967	6.915624391632683E-4	0.21	ovarian cancer
Breast-GC1003968	7.828118205539783E-4	0.23	colorectal cancer
Breast-GC1003970	4.950378652632465E-4	0.13	ovarian cancer
Breast-GC1003971	9.86878490575452E-4	0.21	ovarian cancer
Breast-GC1003972	9.628774071431801E-4	0.21	ovarian cancer
Breast-GC1003974	6.626345264136679E-4	0.13	ovarian cancer
Breast-GC1002311	5.616742011858372E-4	0.23	colorectal cancer
Breast-GC1004006	4.690190264196166E-4	0.21	colorectal cancer
Breast-GC1004007	6.14183729464097E-4	0.17	ovarian cancer
Breast-GC1004008	6.120442658410966E-4	0.01	breast cancer
Breast-GC1004009	9.206385925852287E-4	0.25	ovarian cancer
Breast-GC110693	5.91177985632422E-4	0.01	breast cancer
Breast-GC110694	6.67861070854081E-4	0.23	colorectal cancer
Breast-GC110695	7.619792589276856E-4	0.23	breast cancer
Breast-GC110696	4.723711991788849E-4	0.01	breast cancer
Breast-GC116960	9.655722363954355E-4	0.19	ovarian cancer
Breast-GC116963	4.178261445977903E-4	0.11	ovarian cancer
Breast-GC116964	1.8529183788803106E-4	0.01	breast cancer
Breast-GC116965	0.001122375124211056	0.21	ovarian cancer
Breast-GC116966	8.385826372431438E-4	0.1	ovarian cancer
Breast-GC116967	0.0010374197460362852	0.21	ovarian cancer
Breast-GC116968	6.614038142180943E-4	0.11	ovarian cancer
Breast-GC116969	7.034530458032772E-4	0.1	ovarian cancer
Breast-GC116970	8.546619018703812E-4	0.49	colorectal cancer
Breast-GC116971	7.448982149103269E-4	0.17	ovarian cancer
Breast-GC110676	5.996887342986169E-4	0.23	colorectal cancer
Breast-GC110678	9.753273126230708E-4	0.15	ovarian cancer
Breast-GC110679	0.0020616276671506523	0.41	breast cancer
Breast-GC110680	5.955065104552548E-4	0.15	ovarian cancer
Breast-GC110681	0.0012242481950274762	0.41	breast cancer
Breast-GC110682	0.001060668807285133	0.26	ovarian cancer
