Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Ovarian-GC116979,0.904,9.080,1.147,0.414,20.064,0.000,1.130,9.168,5.106,3.201,9.910,0.292,22.292,17.291
Ovarian-GC116982,0.693,4.442,0.350,0.000,23.546,0.330,1.274,10.660,0.282,10.653,7.824,7.219,12.285,20.440
Ovarian-GC116990,0.272,3.449,0.699,0.326,12.813,1.399,2.742,1.381,3.234,2.763,14.719,4.379,24.645,27.179
Ovarian-GC119363,0.261,18.925,0.123,0.315,12.320,0.036,1.318,9.750,4.625,10.287,3.352,1.820,10.491,26.377
Ovarian-GC119364,0.171,5.294,0.508,0.169,4.860,0.981,4.113,7.450,3.160,3.621,17.377,3.976,21.397,26.923
Ovarian-GC119365,0.518,0.021,0.004,0.000,98.409,0.267,0.154,0.137,0.100,0.310,0.028,0.042,0.006,0.005
Ovarian-GC119366,1.803,27.853,0.036,0.723,3.086,0.034,0.537,12.236,3.932,14.996,7.753,1.579,0.159,25.274
Colorectal-GC121326,0.226,6.499,0.395,0.026,8.144,2.267,1.545,6.333,1.502,16.480,2.122,1.368,25.573,27.521
Colorectal-GC121327,2.925,15.901,1.387,15.249,0.003,0.000,0.919,18.924,3.561,1.569,11.466,0.150,6.583,21.362
Colorectal-GC121328,0.075,6.975,0.253,0.000,9.350,2.874,1.515,1.203,1.443,37.165,7.668,4.600,0.447,26.431
Colorectal-GC121329,0.811,14.258,0.042,0.000,3.679,22.350,2.209,10.797,5.554,20.385,8.371,0.233,0.723,10.587
Colorectal-GC121330,5.746,10.301,0.296,1.113,27.939,2.707,0.065,2.014,0.740,10.464,1.109,1.111,5.353,31.042
Colorectal-GC1003994,0.008,7.553,0.919,0.408,3.051,0.001,2.342,9.107,4.573,14.944,10.280,1.455,11.954,33.405
Colorectal-GC1003995,2.171,4.123,5.004,21.223,7.133,11.332,4.203,3.983,1.038,1.844,6.090,1.365,9.764,20.725
Colorectal-GC1003996,1.339,4.281,0.799,2.491,5.678,0.447,3.776,1.857,5.727,6.286,9.110,2.446,28.304,27.458
Colorectal-GC1003997,0.006,13.860,0.188,0.002,0.471,0.000,1.359,5.708,8.524,8.183,11.223,2.068,17.643,30.766
Colorectal-GC1003998,0.006,5.944,1.467,2.240,7.046,1.669,3.189,7.397,1.654,9.329,9.847,5.846,13.038,31.326
Colorectal-GC1003999,1.657,17.249,0.089,0.061,19.099,1.501,0.077,7.101,2.095,13.064,0.982,1.693,1.007,34.325
