Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Control-GRP-GC114128,6.492,6.232,0.199,3.811,2.120,0.619,7.243,1.705,6.703,0.521,7.446,5.071,0.534,1.671,1.122,0.270,0.587,1.633,1.092,0.139,0.742,1.994,0.983,0.000,0.020,0.000,0.006,0.000,0.001,0.000,0.071,0.733,2.858,1.620,3.734,4.209,0.494,0.001,0.487,3.628,23.207
Control-GRP-GC114130,2.287,2.535,1.745,0.596,3.107,1.359,6.054,9.972,1.552,1.158,7.666,2.195,0.039,0.795,3.866,4.794,6.738,4.164,0.795,0.314,0.008,0.007,0.157,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.803,0.001,0.099,0.055,0.144,0.026,9.175,10.897,15.897
Control-GRP-GC114131,1.722,1.227,4.990,3.409,5.754,6.143,6.695,1.030,3.869,2.877,3.623,2.471,0.266,1.792,0.260,1.429,0.678,1.919,1.365,2.975,0.785,0.293,0.320,0.022,0.003,0.061,0.042,0.004,0.174,0.292,0.586,0.275,4.056,0.837,2.696,4.000,0.892,0.047,2.026,5.299,22.797
Control-GRP-GC114132,1.801,1.832,1.023,3.429,4.337,1.476,7.820,4.927,1.775,6.690,5.021,3.268,2.389,0.061,2.528,0.277,5.718,4.010,0.930,1.416,0.148,0.037,0.196,0.005,0.011,0.006,0.006,0.003,0.000,0.000,0.000,0.000,0.182,0.049,2.260,0.073,0.255,3.116,3.391,22.008,7.527
Control-GRP-GC114133,3.040,0.323,2.608,5.245,3.855,0.658,5.994,3.101,1.001,17.997,0.450,0.556,2.222,1.212,1.085,0.856,2.895,0.285,0.594,1.862,1.686,1.011,2.286,0.000,0.005,0.009,0.100,0.000,0.002,0.000,0.383,1.044,5.904,0.493,0.966,6.425,0.615,0.103,0.763,0.237,22.128
Control-GRP-GC114134,6.220,1.981,0.370,1.783,1.411,3.835,10.482,1.742,4.766,3.832,6.553,1.946,0.473,2.403,5.207,2.978,4.366,2.481,0.207,2.132,0.271,0.390,0.424,0.000,0.002,0.002,0.001,0.000,0.000,0.000,0.000,0.000,5.143,0.011,0.149,0.639,1.099,0.009,3.748,0.689,22.256
Control-GRP-GC114136,0.791,3.524,5.822,4.645,0.900,5.059,11.952,6.548,7.033,0.784,4.198,3.215,0.859,1.691,0.043,0.980,1.459,0.732,0.879,1.273,0.169,0.353,1.274,0.000,0.048,0.033,0.047,0.010,0.581,0.162,0.149,0.079,0.542,0.702,1.258,3.486,0.269,1.396,2.207,9.680,15.168
Control-GRP-GC114137,4.826,1.416,0.737,6.240,4.922,5.478,10.008,7.540,1.616,1.068,4.231,3.228,0.710,0.157,2.147,2.956,5.555,2.069,1.220,0.989,0.254,0.182,0.414,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.551,0.017,0.482,0.480,0.354,0.013,2.116,13.061,13.961
Control-GRP-GC114139,1.471,2.916,5.238,5.408,5.459,1.995,5.693,6.031,0.562,5.320,3.782,1.109,1.589,1.933,0.935,2.508,0.182,0.119,0.871,1.729,0.794,0.559,0.554,0.000,0.000,0.001,0.008,0.001,0.000,0.000,0.025,1.362,0.147,0.685,4.325,3.290,0.920,0.003,4.730,3.963,23.782
Control-GRP-GC114140,0.028,0.015,10.279,19.169,5.109,8.023,1.455,0.347,3.753,4.221,3.531,1.223,1.018,1.392,0.020,0.004,0.042,0.018,0.218,0.024,0.803,0.557,0.425,0.013,0.023,0.003,0.150,0.001,0.114,0.000,1.514,0.749,0.025,5.502,5.188,5.542,0.297,0.965,0.030,0.012,18.198
Control-GRP-GC114141,2.184,1.918,0.355,4.688,9.202,2.961,11.472,3.878,2.688,3.457,2.979,3.819,0.864,0.810,2.047,2.861,2.676,1.154,0.981,0.821,0.606,0.050,0.696,0.000,0.030,0.035,0.051,0.000,0.002,0.432,0.025,0.016,5.068,0.026,0.318,0.210,0.043,14.321,0.494,1.190,14.571
