Sample ID	Log-likelihood ratio	Predicted tumor burden	Predicted sample class
Breast-GC1002975	0.0010627397654239413	0.41	colorectal cancer
Breast-GC1002976	0.0014073049494654037	0.5	colorectal cancer
Breast-GC1002977	4.608080086329028E-4	0.01	ovarian cancer
Breast-GC1002978	0.0030048154759535445	0.42	ovarian cancer
Breast-GC1002979	8.240594890949134E-4	0.21	ovarian cancer
Breast-GC1002980	6.516943086531245E-4	0.01	breast cancer
Breast-GC1002981	9.053866711247111E-4	0.41	colorectal cancer
Breast-GC1003967	7.262353098057271E-4	0.17	ovarian cancer
Breast-GC1003968	8.186917073165466E-4	0.23	colorectal cancer
Breast-GC1003970	3.844057598455795E-4	0.13	ovarian cancer
Breast-GC1003971	0.0010112241835447718	0.21	ovarian cancer
Breast-GC1003972	7.543563287418302E-4	0.21	ovarian cancer
Breast-GC1003974	6.942443465889988E-4	0.17	ovarian cancer
Breast-GC1002311	6.736227681931248E-4	0.23	colorectal cancer
Breast-GC1004006	3.956142637727007E-4	0.23	colorectal cancer
Breast-GC1004007	5.382058096859145E-4	0.17	ovarian cancer
Breast-GC1004008	5.808717588321905E-4	0.01	breast cancer
Breast-GC1004009	8.199383114014244E-4	0.23	ovarian cancer
Breast-GC110693	5.102458623014545E-4	0.01	breast cancer
Breast-GC110694	7.875386872889256E-4	0.23	colorectal cancer
Breast-GC110695	4.843328783765252E-4	0.23	ovarian cancer
Breast-GC110696	5.470102920974554E-4	0.01	breast cancer
Breast-GC116960	9.45187011200043E-4	0.21	ovarian cancer
Breast-GC116963	3.945049882317718E-4	0.01	breast cancer
Breast-GC116964	4.577745905945959E-4	0.01	breast cancer
Breast-GC116965	9.023905590355078E-4	0.17	ovarian cancer
Breast-GC116966	7.011274117065738E-4	0.1	ovarian cancer
Breast-GC116967	8.864337662239431E-4	0.21	ovarian cancer
Breast-GC116968	6.565072376801065E-4	0.23	colorectal cancer
Breast-GC116969	9.104429586918345E-4	0.41	colorectal cancer
Breast-GC116970	9.025487769447844E-4	0.48	colorectal cancer
Breast-GC116971	6.218350757953642E-4	0.17	ovarian cancer
Breast-GC110676	5.853181388501523E-4	0.23	colorectal cancer
Breast-GC110678	8.713673290710089E-4	0.41	colorectal cancer
Breast-GC110679	0.001910506508055582	0.23	breast cancer
Breast-GC110680	5.671424383973296E-4	0.23	colorectal cancer
Breast-GC110681	6.503629657403681E-4	0.41	ovarian cancer
Breast-GC110682	6.721643068831938E-4	0.23	ovarian cancer
Breast-GC110683	9.618903964876815E-4	0.23	ovarian cancer
Breast-GC110684	7.319118536961269E-4	0.23	colorectal cancer
Breast-GC110685	0.0010780074648158412	0.41	colorectal cancer
Ovarian-GC110686	5.212077062262181E-4	0.17	ovarian cancer
Ovarian-GC114179	6.658152764619922E-4	0.11	ovarian cancer
Ovarian-GC114180	7.046317180738117E-4	0.12	ovarian cancer
Ovarian-GC114181	0.0011406928850963313	0.23	breast cancer
Ovarian-GC114182	9.652137066807682E-4	0.53	ovarian cancer
Ovarian-GC116977	7.024116783589743E-4	0.41	colorectal cancer
Ovarian-GC116979	0.0014265798250317004	0.36	ovarian cancer
Ovarian-GC116982	0.0012418737692641065	0.23	ovarian cancer
Ovarian-GC116990	6.616264936663679E-4	0.01	breast cancer
Ovarian-GC119363	0.001308895488293763	0.23	ovarian cancer
Ovarian-GC119364	5.904859978422947E-4	0.16	colorectal cancer
Ovarian-GC119365	7.031192473219269E-4	0.6	ovarian cancer
Ovarian-GC119366	0.0013296413046763132	0.23	breast cancer
Colorectal-GC121326	7.036034112517907E-4	0.23	colorectal cancer
Colorectal-GC121327	0.001469677317233413	0.23	colorectal cancer
Colorectal-GC121328	5.73879363900468E-4	0.22	ovarian cancer
Colorectal-GC121329	0.001645012310851541	0.5	colorectal cancer
Colorectal-GC121330	8.828376096889852E-4	0.41	breast cancer
Colorectal-GC1003994	9.608203397394269E-4	0.23	ovarian cancer
Colorectal-GC1003995	0.00269684347205295	0.58	colorectal cancer
Colorectal-GC1003996	8.411425703692919E-4	0.23	colorectal cancer
Colorectal-GC1003997	4.960217172051078E-4	0.01	colorectal cancer
Colorectal-GC1003998	7.118432908841071E-4	0.23	colorectal cancer
Colorectal-GC1003999	5.786134257022013E-4	0.21	breast cancer
Colorectal-GC1004000	0.0029596671817610485	0.74	colorectal cancer
Colorectal-GC1004001	5.377215827880516E-4	0.13	ovarian cancer
Colorectal-GC1004002	5.750754064295237E-4	0.15	ovarian cancer
Colorectal-GC1004003	6.248632315561882E-4	0.41	colorectal cancer
Colorectal-GC137538	3.3723234275794337E-4	0.18	ovarian cancer
Colorectal-GC137539	6.46383984109571E-4	0.41	colorectal cancer
Colorectal-GC137540	5.612057779481973E-4	0.01	breast cancer
Colorectal-GC137541	8.891152699655857E-4	0.41	colorectal cancer
Colorectal-GC137542	3.041368153500842E-4	0.01	colorectal cancer
Colorectal-GC137543	9.207524740618215E-4	0.41	colorectal cancer
Colorectal-GC137544	3.923812133068295E-4	0.01	cervical cancer
Colorectal-GC137545	3.3399581050496557E-4	0.01	colorectal cancer
Colorectal-GC137546	5.056047917785252E-4	0.11	ovarian cancer
Colorectal-GC137547	6.323989661138538E-4	0.15	ovarian cancer
Colorectal-GC137548	5.473421685679499E-4	0.17	ovarian cancer
Colorectal-GC137549	0.001358967605761682	0.5	colorectal cancer
Colorectal-GC137550	5.632603343785604E-4	0.01	breast cancer
Colorectal-GC137551	7.213386076141832E-4	0.23	colorectal cancer
Colorectal-GC137552	4.6763356842311035E-4	0.17	ovarian cancer
Colorectal-GC137553	6.732017335408622E-4	0.41	colorectal cancer
Colorectal-GC137554	7.311148591208303E-4	0.41	colorectal cancer
Colorectal-GC137555	6.130581587832286E-4	0.01	colorectal cancer
Colorectal-GC137556	9.21507462050876E-4	0.15	ovarian cancer
Colorectal-GC137557	1.6321920556782232E-4	0.07	ovarian cancer
Cervical-GC1002983	0.0010342214109795823	0.5	colorectal cancer
Cervical-GC1002984	6.163480783018273E-4	0.11	ovarian cancer
Cervical-GC114187	5.5836337438701E-4	0.01	breast cancer
Cervical-GC114188	9.77649998053846E-4	0.17	ovarian cancer
Control-GC1003986	4.277951085322328E-4	0.01	breast cancer
Control-GC1003988	2.564223552924323E-4	0.23	colorectal cancer
Control-GC110675	5.105762948065633E-4	0.01	breast cancer
Control-GC112864	5.693836421934838E-4	0.25	ovarian cancer
Control-GC112894	0.0013043783917853385	0.58	colorectal cancer
Control-GC112895	8.022666402226195E-4	0.41	colorectal cancer
Control-GC112897	7.356012747988097E-4	0.17	ovarian cancer
Control-GC119350	3.7585859437372436E-4	0.01	breast cancer
Control-GC119351	7.186750244682616E-4	0.41	colorectal cancer
Control-GC119352	6.289560359333425E-4	0.13	ovarian cancer
Control-GC119353	0.0012386769444258582	0.25	ovarian cancer
Control-GC119354	6.33233297616724E-4	0.17	ovarian cancer
Control-GC119356	5.770521161318975E-4	0.41	colorectal cancer
Control-GRP-GC114128	3.512162835553256E-4	0.01	colorectal cancer
Control-GRP-GC114130	6.633222318513283E-4	0.1	ovarian cancer
Control-GRP-GC114131	5.372602123112829E-4	0.15	ovarian cancer
Control-GRP-GC114132	7.718147583264092E-4	0.41	colorectal cancer
Control-GRP-GC114133	4.974491142807816E-4	0.01	breast cancer
Control-GRP-GC114134	4.3275077613362013E-4	0.11	ovarian cancer
Control-GRP-GC114136	9.127128768230997E-4	0.23	colorectal cancer
Control-GRP-GC114137	4.766874823160162E-4	0.01	breast cancer
Control-GRP-GC114139	2.564143035700726E-4	0.14	ovarian cancer
Control-GRP-GC114140	4.2048420182450177E-4	0.21	ovarian cancer
Control-GRP-GC114141	5.440054192928505E-4	0.41	colorectal cancer
Control-GRP-GC114142	6.910812107824792E-4	0.23	colorectal cancer
Control-GRP-GC114183	4.521306803810605E-4	0.01	breast cancer
Control-GRP-GC114185	6.70014393573962E-4	0.41	colorectal cancer
Control-GRP-GC114186	7.829761334999942E-4	0.17	ovarian cancer
