Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Cer77_rep3_Dep6_Tu0.3,1.464,1.203,6.628,5.123,5.953,6.255,4.318,4.016,5.662,4.208,3.711,3.275,0.643,0.019,2.144,0.182,2.256,0.282,2.706,2.048,0.111,1.173,0.919,0.082,0.570,0.124,0.144,0.009,0.027,0.020,0.011,0.013,0.527,0.229,0.369,0.080,0.048,0.095,0.388,0.178,15.553,0.426,0.267,0.496,4.638,0.173,4.433,3.719,0.942,2.137
Cer77_rep1_Dep6_Tu0.5,1.194,0.316,7.508,4.348,6.207,8.272,8.994,1.829,2.781,2.393,0.324,0.532,1.263,1.332,0.217,2.487,2.262,4.603,1.940,3.339,0.216,1.140,0.616,0.055,0.267,0.060,0.210,0.032,0.072,0.020,0.010,0.010,0.209,0.079,1.132,0.053,0.111,0.024,1.003,0.716,7.851,0.661,0.099,0.454,1.753,0.305,16.117,2.406,0.356,1.823
Cer77_rep4_Dep6_Tu1,1.312,0.702,8.965,1.404,9.313,5.675,9.421,3.478,0.334,1.390,5.899,0.859,0.381,0.281,5.077,0.892,0.303,0.762,2.966,2.322,0.301,0.369,1.637,0.022,0.697,0.200,0.207,0.060,0.102,0.020,0.011,0.043,0.334,0.134,1.276,0.137,0.021,0.006,0.274,0.791,6.745,0.103,0.091,1.200,0.028,0.588,15.241,6.079,0.702,0.846
Cer77_rep2_Dep6_Tu0.3,0.678,1.689,5.008,0.484,8.279,9.053,6.038,1.209,9.109,0.509,5.517,1.787,1.034,1.472,2.785,0.434,0.031,4.666,2.198,0.082,0.227,0.856,1.463,0.172,0.289,0.089,0.072,0.082,0.073,0.005,0.010,0.033,0.508,0.092,1.159,0.080,0.068,0.119,0.245,0.097,4.591,0.528,0.212,0.517,1.842,0.007,10.775,3.273,8.437,2.013
Cer77_rep10_Dep6_Tu10,0.146,1.717,3.886,6.389,7.309,0.539,0.890,5.784,1.749,3.207,1.865,3.103,1.597,0.944,3.743,3.762,3.027,0.772,0.700,2.942,0.643,0.940,0.574,0.099,0.279,0.000,0.277,0.334,0.055,0.151,0.065,0.061,0.686,0.263,1.486,0.142,0.170,1.358,1.390,0.076,6.037,8.276,0.086,1.307,9.036,3.067,3.547,0.353,1.050,4.122
Cer77_rep3_Dep6_Tu50,0.605,0.252,1.517,0.111,1.195,1.665,0.545,1.453,0.598,0.437,0.589,2.412,1.325,0.823,0.619,3.738,5.044,0.749,0.433,2.686,1.170,0.318,1.544,0.746,1.358,0.203,0.148,0.328,0.227,0.621,0.078,0.090,0.174,0.901,0.097,1.676,2.304,2.463,2.331,3.567,0.022,1.043,30.833,6.943,1.117,9.665,0.102,2.152,0.577,0.406
Cer77_rep3_Dep6_Tu0.5,1.884,1.879,10.757,3.375,5.226,3.163,3.482,6.884,7.276,3.556,0.230,0.039,1.712,0.821,0.418,3.797,0.506,0.974,1.293,3.217,0.382,1.264,0.873,0.025,0.258,0.182,0.139,0.047,0.082,0.011,0.007,0.019,0.302,0.486,0.675,0.037,0.046,0.057,0.343,0.909,6.184,0.379,0.084,0.775,0.928,0.043,1.530,0.454,16.716,6.277
Cer77_rep5_Dep6_Tu40,1.023,1.442,0.661,0.875,1.514,1.973,1.488,0.247,2.057,1.638,1.050,1.086,0.560,0.865,0.764,3.771,1.660,4.031,2.722,1.781,0.331,1.262,1.074,0.698,1.335,0.134,0.127,0.451,0.312,0.508,0.058,0.038,0.995,0.690,0.510,0.954,2.177,1.621,1.561,4.035,0.128,10.511,22.616,9.524,0.438,0.055,0.071,1.720,0.684,4.175
Cer77_rep9_Dep6_Tu2,2.297,1.784,6.597,6.785,1.016,3.770,5.265,7.424,7.567,0.125,2.521,1.282,0.314,1.434,0.237,2.841,2.444,4.197,1.235,2.195,0.213,1.446,0.058,0.188,0.149,0.019,0.098,0.047,0.047,0.041,0.009,0.037,0.296,0.380,0.440,0.086,0.084,0.169,0.217,1.019,0.444,1.299,0.370,1.074,4.893,0.479,14.491,3.170,5.969,1.440
Cer77_rep8_Dep6_Tu20,0.322,0.363,1.507,1.457,2.252,4.256,3.848,3.988,4.290,1.913,0.648,3.279,0.181,0.403,0.317,4.292,2.191,4.384,0.935,4.500,0.652,0.831,1.002,0.174,0.180,0.727,0.046,0.054,0.105,0.091,0.090,0.179,1.698,0.611,1.388,0.741,0.807,1.729,3.223,0.080,2.653,3.126,7.717,1.623,1.861,9.685,2.186,3.034,4.829,3.549
Cer77_rep7_Dep6_Tu0.5,1.624,0.463,6.239,5.409,1.181,8.103,9.399,6.938,1.685,1.804,1.076,2.660,0.487,1.091,1.927,3.096,1.242,2.703,2.163,2.889,0.675,0.029,1.417,0.049,0.386,0.190,0.143,0.042,0.074,0.001,0.015,0.023,0.378,0.489,0.263,0.057,0.051,0.110,0.707,0.502,12.507,0.122,0.243,0.304,3.296,0.205,10.855,0.086,3.081,1.518
Cer77_rep1_Dep6_Tu50,1.253,0.349,0.410,1.576,1.393,0.237,0.168,0.351,0.101,1.384,0.565,1.965,1.362,0.447,2.501,3.245,3.216,3.754,1.769,1.525,1.149,0.627,1.071,0.668,0.430,0.305,0.089,0.430,0.237,0.496,0.010,0.142,0.115,0.511,1.205,1.213,3.327,1.922,3.655,2.458,0.533,6.925,14.218,6.255,0.292,20.235,0.094,0.420,1.938,1.462
Cer77_rep10_Dep6_Tu1,1.232,1.171,2.313,0.634,5.827,7.596,5.123,8.172,7.916,2.639,0.503,3.467,1.057,0.694,1.543,3.024,2.034,1.716,0.373,3.011,0.433,0.388,1.419,0.004,0.340,0.152,0.251,0.052,0.076,0.031,0.017,0.016,0.154,0.665,1.017,0.089,0.088,0.083,0.371,0.187,2.278,0.189,0.154,0.446,2.658,0.259,7.250,1.070,13.535,6.282
Cer77_rep8_Dep6_Tu0.3,2.291,1.689,6.223,0.644,2.048,7.806,8.112,8.079,6.218,4.171,0.140,4.755,1.555,0.607,1.720,0.194,0.677,0.685,0.810,3.065,0.778,1.025,1.123,0.159,0.434,0.049,0.111,0.025,0.011,0.025,0.000,0.016,0.079,0.587,0.221,0.070,0.016,0.141,0.406,0.206,6.370,0.891,0.157,0.234,8.455,0.018,5.296,4.095,4.601,2.910
Cer77_rep4_Dep6_Tu20,0.384,0.636,2.015,2.302,1.228,0.956,5.652,4.905,3.181,1.728,2.702,2.785,2.259,0.429,0.512,1.181,4.919,4.564,0.765,2.153,1.410,0.263,1.072,0.337,1.464,0.038,0.065,0.126,0.258,0.267,0.130,0.040,1.383,0.825,0.883,1.878,0.885,0.186,1.359,3.025,0.000,5.931,6.716,7.941,3.934,3.703,2.659,2.565,4.462,0.937
